Unnamed_0,췌장암세포주,Unnamed_2,Unnamed_3,Unnamed_4,Unnamed_5,Unnamed_6,Unnamed_7,Unnamed_8,Unnamed_9
화합물 번호,PANC-1,AsPC-1,Capan-1,MIA PaCa-2,BxPC-3,CFPAC-1,Capan-2,,
1.0,> 2 μM,> 2 μM,> 2 μM,1.59 μM,> 2 μM,> 10 μM,> 2 μM,,
2.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
3.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
4.0,> 2 μM,> 2 μM,> 2 μM,1.34 μM,> 2 μM,> 10 μM,> 2 μM,,
5.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
6.0,> 2 μM,> 2 μM,> 2 μM,1.35 μM,> 2 μM,> 10 μM,> 2 μM,,
7.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
8.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
9.0,> 2 μM,> 2 μM,> 2 μM,1.03 μM,> 2 μM,> 10 μM,> 2 μM,,
10.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
11.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
12.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
13.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
14.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
15.0,> 2 μM,> 2 μM,> 2 μM,1.63 μM,> 2 μM,> 10 μM,> 2 μM,,
16.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
17.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
18.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
19.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
20.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
21.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
22.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
23.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
24.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
25.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
26.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
27.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
28.0,> 2 μM,> 2 μM,> 2 μM,0.88 μM,> 2 μM,> 10 μM,> 2 μM,,
29.0,> 2 μM,> 2 μM,> 2 μM,1.19 μM,> 2 μM,> 10 μM,> 2 μM,,
30.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
31.0,> 2 μM,> 2 μM,> 2 μM,1.18 μM,> 2 μM,> 10 μM,> 2 μM,,
32.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
33.0,> 2 μM,> 2 μM,> 2 μM,1.04 μM,> 2 μM,> 10 μM,> 2 μM,,
34.0,> 2 μM,> 2 μM,> 2 μM,1.99 μM,> 2 μM,> 10 μM,> 2 μM,,
35.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
36.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
37.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
38.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
39.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
40.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
41.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
42.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
43.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
44.0,> 2 μM,> 2 μM,> 2 μM,1.23 μM,> 2 μM,> 10 μM,> 2 μM,,
45.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
46.0,> 2 μM,> 2 μM,> 2 μM,1.57 μM,> 2 μM,> 10 μM,> 2 μM,,
47.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
48.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
49.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
50.0,> 2 μM,> 2 μM,> 2 μM,1.45 μM,> 2 μM,> 10 μM,> 2 μM,,
51.0,> 2 μM,> 2 μM,> 2 μM,0.76 μM,> 2 μM,> 10 μM,> 2 μM,,
52.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
53.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
54.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
55.0,> 2 μM,> 2 μM,> 2 μM,1.69 μM,> 2 μM,> 10 μM,> 2 μM,,
56.0,> 2 μM,> 2 μM,> 2 μM,1.37 μM,> 2 μM,> 10 μM,> 2 μM,,
57.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
58.0,> 2 μM,> 2 μM,> 2 μM,0.81 μM,> 2 μM,> 10 μM,> 2 μM,,
59.0,> 2 μM,> 2 μM,> 2 μM,1.38 μM,> 2 μM,> 10 μM,> 2 μM,,
60.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
61.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
62.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
63.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
64.0,> 2 μM,> 2 μM,> 2 μM,1.22 μM,> 2 μM,> 10 μM,> 2 μM,,
65.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
66.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
67.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
68.0,> 2 μM,> 2 μM,> 2 μM,1.12 μM,> 2 μM,> 10 μM,> 2 μM,,
69.0,> 2 μM,> 2 μM,> 2 μM,1.37 μM,> 2 μM,> 10 μM,> 2 μM,,
70.0,> 2 μM,> 2 μM,> 2 μM,1.44 μM,> 2 μM,> 10 μM,> 2 μM,,
71.0,> 2 μM,> 2 μM,> 2 μM,1.65 μM,> 2 μM,> 10 μM,> 2 μM,,
72.0,> 2 μM,2.01 μM,> 2 μM,1.00 μM,> 2 μM,> 10 μM,> 2 μM,,
73.0,> 2 μM,> 2 μM,> 2 μM,1.65 μM,> 2 μM,> 10 μM,> 2 μM,,
74.0,> 2 μM,> 2 μM,> 2 μM,1.18 μM,> 2 μM,> 10 μM,> 2 μM,,
75.0,> 2 μM,> 2 μM,> 2 μM,1.32 μM,> 2 μM,> 10 μM,> 2 μM,,
76.0,> 2 μM,> 2 μM,> 2 μM,1.55 μM,> 2 μM,> 10 μM,> 2 μM,,
77.0,> 2 μM,> 2 μM,> 2 μM,1.39 μM,> 2 μM,> 10 μM,> 2 μM,,
78.0,> 2 μM,> 2 μM,> 2 μM,1.40 μM,> 2 μM,> 10 μM,> 2 μM,,
79.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
80.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
81.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
82.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
83.0,> 2 μM,> 2 μM,> 2 μM,1.44 μM,> 2 μM,> 10 μM,> 2 μM,,
84.0,> 2 μM,1.80 μM,1.50 μM,0.92 μM,> 2 μM,> 10 μM,> 2 μM,,
85.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
86.0,> 2 μM,1.28 μM,1.26 μM,0.64 μM,> 2 μM,> 10 μM,> 2 μM,,
87.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
88.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
89.0,> 2 μM,> 2 μM,> 2 μM,1.41 μM,> 2 μM,> 10 μM,> 2 μM,,
90.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
91.0,> 2 μM,> 2 μM,> 2 μM,1.42 μM,> 2 μM,> 10 μM,> 2 μM,,
92.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
93.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
94.0,> 2 μM,> 2 μM,> 2 μM,1.65 μM,> 2 μM,> 10 μM,> 2 μM,,
95.0,> 2 μM,1.06 μM,1.25 μM,0.59 μM,> 2 μM,> 10 μM,> 2 μM,,
96.0,> 2 μM,> 2 μM,> 2 μM,1.14 μM,> 2 μM,> 10 μM,> 2 μM,,
97.0,> 2 μM,1.74 μM,1.52 μM,0.86 μM,> 2 μM,> 10 μM,> 2 μM,,
98.0,> 2 μM,> 2 μM,> 2 μM,1.27 μM,> 2 μM,> 10 μM,> 2 μM,,
