Unnamed_0,방광암세포주,Unnamed_2,Unnamed_3,Unnamed_4,Unnamed_5,Unnamed_6,Unnamed_7,Unnamed_8,Unnamed_9
화합물 번호,KU-19-19,253J,5637.0,J82,T24,MBT-2,UM-UC-3,,
1.0,1.94 μM,1.35 μM,1.67 μM,> 2 μM,1.34 μM,1.19 μM,1.51 μM,,
2.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
3.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
4.0,1.05 μM,1.00 μM,1.91 μM,> 2 μM,1.31 μM,0.96 μM,1.33 μM,,
5.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
6.0,> 2 μM,1.22 μM,1.69 μM,> 2 μM,1.42 μM,1.44 μM,1.46 μM,,
7.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
8.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
9.0,1.97 μM,1.10 μM,1.63 μM,> 2 μM,1.16 μM,1.20 μM,1.18 μM,,
10.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
11.0,> 2 μM,1.41 μM,> 2 μM,> 2 μM,1.83 μM,> 2 μM,1.49 μM,,
12.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
13.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
14.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
15.0,1.91 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
16.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
17.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
18.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
19.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
20.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
21.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
22.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
23.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
24.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
25.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
26.0,> 2 μM,> 2 μM,1.60 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
27.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
28.0,1.46 μM,0.74 μM,1.03 μM,1.33 μM,0.82 μM,0.79 μM,0.79 μM,,
29.0,1.68 μM,0.96 μM,1.33 μM,> 2 μM,1.09 μM,1.20 μM,1.13 μM,,
30.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
31.0,1.45 μM,0.89 μM,1.23 μM,1.38 μM,1.12 μM,1.28 μM,1.02 μM,,
32.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
33.0,1.42 μM,1.39 μM,> 2 μM,> 2 μM,1.03 μM,0.90 μM,1.11 μM,,
34.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
35.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
