Unnamed_0,뇌암세포주,Unnamed_2,Unnamed_3,신경아세포종,흑색종,간암세포주,Unnamed_7,Unnamed_8,Unnamed_9
화합물 번호,U-251 MG,T98G,U-138 MG,SH-SY5Y,LOX-IMVI,SK-HEP-1,,,
1.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,1.50 μM,1.23 μM,,,
2.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
3.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
4.0,1.22 μM,> 10 μM,1.81 μM,> 2 μM,1.09 μM,1.13 μM,,,
5.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
6.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,1.35 μM,1.38 μM,,,
7.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
8.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
9.0,> 2 μM,> 10 μM,1.26 μM,> 2 μM,1.05 μM,0.99 μM,,,
10.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
11.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,
12.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
13.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
14.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
15.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,
16.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
17.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
18.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
19.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
20.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
21.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
22.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
23.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
24.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
25.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
26.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,
27.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
