Unnamed_0,자궁경부암,난소암,신장암,유두종(papilloma),Unnamed_5,Unnamed_6,Unnamed_7,Unnamed_8,Unnamed_9
화합물 번호,HeLa,OVCAR-3,ACHN,RT4,,,,,
1.0,> 10 μM,0.70 μM,> 2 μM,> 10 μM,,,,,
2.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
3.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
4.0,> 10 μM,0.81 μM,> 2 μM,> 10 μM,,,,,
5.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
6.0,> 10 μM,0.73 μM,> 2 μM,> 10 μM,,,,,
7.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
8.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
9.0,> 10 μM,0.58 μM,> 2 μM,> 10 μM,,,,,
10.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
11.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
12.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
13.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
14.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
15.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
16.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
17.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
18.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
19.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
20.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
21.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
22.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
23.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
24.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
25.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
26.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
27.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
28.0,> 10 μM,0.69 μM,> 2 μM,> 10 μM,,,,,
29.0,> 10 μM,0.80 μM,> 2 μM,> 10 μM,,,,,
30.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
31.0,> 10 μM,0.71 μM,> 2 μM,> 10 μM,,,,,
32.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
33.0,> 10 μM,1.18 μM,> 2 μM,> 10 μM,,,,,
34.0,> 10 μM,0.99 μM,> 2 μM,> 10 μM,,,,,
35.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
36.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
37.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
38.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
39.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
40.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
41.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
42.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
43.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
44.0,> 10 μM,0.84 μM,> 2 μM,> 10 μM,,,,,
45.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
46.0,> 10 μM,1.02 μM,> 2 μM,> 10 μM,,,,,
47.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
48.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
49.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
50.0,> 10 μM,0.89 μM,> 2 μM,> 10 μM,,,,,
51.0,> 10 μM,0.85 μM,> 2 μM,> 10 μM,,,,,
52.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
53.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
54.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
55.0,> 10 μM,0.92 μM,> 2 μM,> 10 μM,,,,,
56.0,> 2 μM,1.09 μM,> 2 μM,> 10 μM,,,,,
57.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
58.0,> 10 μM,0.70 μM,> 2 μM,> 10 μM,,,,,
59.0,> 10 μM,0.84 μM,> 2 μM,> 10 μM,,,,,
60.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
61.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
