Compound # (화합물 번호),Structure (구조) - SMILES,Unnamed_2,IUPAC (formatted),for reference --> (before cleansed),tabular IUPAC (unformatted),Unnamed_6
1.0,CC(=O)/C1=C(\S(C)=O)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-5-chloro-2-(methylsulfinyl)quinol in-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-(methylsulfinyl)quinol in-4(1H)-one,
2.0,CS/C1=C(\C(C)=O)C(=O)C2=C(Cl)C=CC(Br)=C2N1,,3-acetyl-8-bromo-5-chloro-2-(methylthio)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-(methylthio)quinolin- 4(1H)-one,
3.0,CC(=O)/C1=C(\SCC2=CC=CC=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-2-(benzylthio)-8-bromo-5-chloroquinolin-4(1H)-one,,3-acetyl-2-(benzylthio)-8-bromo-5-chloroquinolin- 4(1H)-one,
4.0,CC(=O)/C1=C(\S(=O)CC2=CC=CC=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-2-(benzylsulfinyl)-8-bromo-5-chloroquinolin-4(1H)-one,,3-acetyl-2-(benzylsulfinyl)-8-bromo-5- chloroquinolin-4(1H)-one,
5.0,CS/C1=C(\C(C)=O)C(=O)C2=C(Cl)C=CC(Br)=C2N1C,,3-acetyl-8-bromo-5-chloro-1-methyl-2-(methylthio)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-1-methyl-2- (methylthio)quinolin-4(1H)-one,
6.0,CC(=O)/C1=C(\S(C)=O)NC2=C(Cl)C=CC(Cl)=C2C1=O,,"3-acetyl-5,8-dichloro-2-(methylsulfinyl)quinolin-4(1H)-one",,"3-acetyl-5,8-dichloro-2-(methylsulfinyl)quinolin- 4(1H)-one",
7.0,CS/C1=C(\C(C)=O)C(=O)C2=CC(F)=CC=C2N1C,,3-acetyl-6-fluoro-1-methyl-2-(methylthio)quinolin-4(1H)-one,,3-acetyl-6-fluoro-1-methyl-2-(methylthio)quinolin- 4(1H)-one,
8.0,CS/C1=C(\C(C)=O)C(=O)C2=CC(F)=CC=C2N1,,1-(6-fluoro-4-hydroxy-2-(methylthio)quinolin-3-yl)ethan-1-one,,1-(6-fluoro-4-hydroxy-2-(methylthio)quinolin-3- yl)ethan-1-one,
9.0,CC(=O)/C1=C(\S(C)=O)N(C(=O)C2=CC=C(Br)C=C2)C2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-1-(4-bromobenzoyl)-5-chloro-2-(methylsulfinyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-1-(4-bromobenzoyl)-5-chloro-2- (methylsulfinyl)quinolin-4(1H)-one,
10.0,CC(=O)/C1=C(\SCC2=CC=C(Cl)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-5-chloro-2-((4-chlorobenzyl)thio)quinolin-4(1H)-one,,,
