Unnamed_0,전립선암세포주,Unnamed_2,Unnamed_3,Unnamed_4,Unnamed_5,Unnamed_6,Unnamed_7,Unnamed_8,Unnamed_9
화합물 번호,PC-3,DU145,DU145/TXR,LNcap,CWR22,,,,
1.0,1.64 μM,1.90 μM,1.65 μM,> 2 μM,1.83 μM,,,,
2.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
3.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
4.0,1.52 μM,1.41 μM,1.19 μM,> 2 μM,1.67 μM,,,,
5.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
6.0,1.68 μM,1.80 μM,1.54 μM,> 2 μM,1.99 μM,,,,
7.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
8.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
9.0,1.47 μM,1.59 μM,1.35 μM,> 2 μM,1.60 μM,,,,
10.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
11.0,> 2 μM,> 2 μM,1.81 μM,> 2 μM,> 2 μM,,,,
12.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
13.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
14.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
15.0,> 2 μM,> 2 μM,1.88 μM,> 2 μM,> 2 μM,,,,
16.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
17.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
18.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
19.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
20.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
21.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
22.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
23.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
24.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
25.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
26.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
27.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
28.0,1.16 μM,1.28 μM,1.01 μM,1.34 μM,1.07 μM,,,,
29.0,1.46 μM,1.73 μM,0.96 μM,1.55 μM,1.77 μM,,,,
30.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
31.0,1.41 μM,1.44 μM,0.93 μM,1.64 μM,1.59 μM,,,,
32.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
33.0,1.58 μM,1.63 μM,1.34 μM,1.84 μM,1.34 μM,,,,
34.0,> 2 μM,> 2 μM,1.59 μM,> 2 μM,> 2 μM,,,,
35.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
36.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
