Unnamed_0,폐암세포주,Unnamed_2,Unnamed_3,Unnamed_4,Unnamed_5,Unnamed_6,Unnamed_7,Unnamed_8,Unnamed_9
화 합물 번호,NCI-H522,NCI-H1437,A549,NCI-H460,MRC-5,DMS 114,NCI-H23,NCI-H12 99,
1.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,1.34 μM,> 2 μM,1.34 μM,1.88 μM,
2.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
3.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
4.0,> 2 μM,> 2 μM,1.97 μM,1.65 μM,0.91 μM,> 2 μM,0.92 μM,1.40 μM,
5.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
6.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.31 μM,1.84 μM,
7.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
8.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
9.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,0.90 μM,1.26 μM,
10.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
11.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.55 μM,> 2 μM,
12.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
13.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
14.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
15.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.56 μM,> 2 μM,
16.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
17.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
18.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
19.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
20.0,> 2 μM,> 2 μM,> 2 μM,1.58 μM,> 2 μM,> 2 μM,1.39 μM,1.58 μM,
21.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
22.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
23.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
24.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
25.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
26.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
27.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
28.0,1.88 μM,> 10 μM,> 2 μM,1.60 μM,0.70 μM,> 2 μM,0.75 μM,1.11 μM,
29.0,> 2 μM,> 10 μM,> 2 μM,1.77 μM,> 2 μM,> 2 μM,0.91 μM,1.42 μM,
30.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
31.0,> 2 μM,> 10 μM,1.72 μM,1.42 μM,> 2 μM,> 2 μM,0.81 μM,1.22 μM,
32.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
33.0,> 2 μM,> 10 μM,> 2 μM,1.78 μM,0.82 μM,> 2 μM,0.86 μM,1.38 μM,
34.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.39 μM,2.00 μM,
35.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
36.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
37.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
38.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
39.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
40.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
41.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
42.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.84 μM,> 2 μM,
43.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
44.0,> 2 μM,> 10 μM,1.87 μM,1.75 μM,0.96 μM,> 2 μM,0.96 μM,1.28 μM,
45.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
46.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.27 μM,1.87 μM,
47.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
48.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.51 μM,> 2 μM,
49.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
50.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.14 μM,1.94 μM,
51.0,1.73 μM,> 10 μM,> 2 μM,1.62 μM,0.58 μM,> 2 μM,0.77 μM,1.13 μM,
52.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
53.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
54.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
55.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.28 μM,> 2 μM,
56.0,> 2 μM,> 10 μM,1.70 μM,1.90 μM,1.24 μM,> 2 μM,1.04 μM,> 2 μM,
57.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.83 μM,> 2 μM,
58.0,1.94 μM,> 10 μM,> 2 μM,> 2 μM,0.76 μM,> 2 μM,0.80 μM,1.15 μM,
59.0,> 2 μM,> 10 μM,> 2 μM,1.81 μM,1.03 μM,> 2 μM,0.92 μM,1.45 μM,
60.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.37 μM,> 2 μM,
61.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
62.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
63.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.70 μM,> 2 μM,
64.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,0.98 μM,1.35 μM,
65.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
66.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
67.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
68.0,> 2 μM,> 10 μM,1.38 μM,1.41 μM,0.95 μM,> 2 μM,0.77 μM,1.24 μM,
69.0,> 2 μM,> 10 μM,1.78 μM,1.62 μM,1.05 μM,> 2 μM,1.13 μM,1.31 μM,
70.0,> 2 μM,> 10 μM,1.99 μM,1.61 μM,1.01 μM,> 2 μM,1.03 μM,1.47 μM,
71.0,> 2 μM,> 10 μM,1.79 μM,> 2 μM,> 2 μM,> 2 μM,1.46 μM,1.64 μM,
72.0,> 2 μM,> 10 μM,1.79 μM,1.54 μM,0.72 μM,1.94 μM,0.71 μM,1.21 μM,
73.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.52 μM,> 2 μM,
74.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.08 μM,1.42 μM,
75.0,> 2 μM,> 10 μM,1.70 μM,1.73 μM,1.09 μM,> 2 μM,1.19 μM,1.06 μM,
76.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,1.57 μM,> 2 μM,1.22 μM,1.67 μM,
77.0,> 2 μM,> 10 μM,1.84 μM,1.51 μM,1.06 μM,> 2 μM,0.96 μM,1.32 μM,
