Unnamed_0,혈액암세포주,Unnamed_2,Unnamed_3,Unnamed_4,Unnamed_5,Unnamed_6,Unnamed_7,Unnamed_8,Unnamed_9
화합물 번호,HL-60,U-937,Raji,Ramos (RA 1),Daudi,Jurkat,MV-4-11,MOLT-4,
1.0,1.72 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.39 μM,1.85 μM,
2.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
3.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
4.0,1.98 μM,1.24 μM,1.15 μM,1.76 μM,> 2 μM,1.07 μM,1.61 μM,1.37 μM,
5.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
6.0,1.65 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.26 μM,1.69 μM,
7.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
8.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
9.0,1.20 μM,1.06 μM,1.14 μM,1.55 μM,1.99 μM,1.05 μM,1.09 μM,1.25 μM,
10.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
11.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
12.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
13.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
14.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
15.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
16.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
17.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
18.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
19.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
20.0,> 2 μM,> 2 μM,1.18 μM,1.51 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
21.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
22.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
23.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
24.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
25.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
26.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.79 μM,> 2 μM,1.74 μM,
27.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
28.0,1.06 μM,0.87 μM,0.87 μM,1.49 μM,1.94 μM,0.88 μM,1.07 μM,1.18 μM,
29.0,1.72 μM,1.05 μM,1.18 μM,1.67 μM,> 2 μM,1.08 μM,1.40 μM,1.44 μM,
30.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
31.0,1.93 μM,> 2 μM,1.10 μM,1.83 μM,1.65 μM,0.94 μM,> 2 μM,1.35 μM,
32.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
33.0,1.77 μM,> 2 μM,0.97 μM,> 2 μM,> 2 μM,1.03 μM,1.28 μM,1.44 μM,
34.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
35.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
36.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
37.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
38.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
39.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
40.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
41.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
42.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
43.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
44.0,1.73 μM,> 2 μM,1.16 μM,1.93 μM,1.80 μM,1.13 μM,1.98 μM,1.47 μM,
45.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
46.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
47.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
48.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
49.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
50.0,> 2 μM,> 2 μM,1.41 μM,> 2 μM,> 2 μM,1.20 μM,> 2 μM,1.66 μM,
51.0,0.95 μM,0.63 μM,0.76 μM,1.07 μM,1.66 μM,0.85 μM,0.68 μM,1.44 μM,
52.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
53.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
54.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
