compound_id,smiles_raw,nan,iupac_name,for reference --> (before cleansed),tabular IUPAC (unformatted),flag_asterisk,flag_imaging_conflict,flag_smiles_o3_changed,provenance_file,provenance_sheet,provenance_row
1,CC(=O)/C1=C(\S(C)=O)NC2=C(Br)C=CC(Cl)=C2C1=O,nan,3-acetyl-8-bromo-5-chloro-2-(methylsulfinyl)quinol in-4(1H)-one,nan,3-acetyl-8-bromo-5-chloro-2-(methylsulfinyl)quinol in-4(1H)-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,3
2,CS/C1=C(\C(C)=O)C(=O)C2=C(Cl)C=CC(Br)=C2N1,nan,3-acetyl-8-bromo-5-chloro-2-(methylthio)quinolin-4(1H)-one,nan,3-acetyl-8-bromo-5-chloro-2-(methylthio)quinolin- 4(1H)-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,4
3,CC(=O)/C1=C(\SCC2=CC=CC=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,nan,3-acetyl-2-(benzylthio)-8-bromo-5-chloroquinolin-4(1H)-one,nan,3-acetyl-2-(benzylthio)-8-bromo-5-chloroquinolin- 4(1H)-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,5
4,CC(=O)/C1=C(\S(=O)CC2=CC=CC=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,nan,3-acetyl-2-(benzylsulfinyl)-8-bromo-5-chloroquinolin-4(1H)-one,nan,3-acetyl-2-(benzylsulfinyl)-8-bromo-5- chloroquinolin-4(1H)-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,6
5,CS/C1=C(\C(C)=O)C(=O)C2=C(Cl)C=CC(Br)=C2N1C,nan,3-acetyl-8-bromo-5-chloro-1-methyl-2-(methylthio)quinolin-4(1H)-one,nan,3-acetyl-8-bromo-5-chloro-1-methyl-2- (methylthio)quinolin-4(1H)-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,7
6,CC(=O)/C1=C(\S(C)=O)NC2=C(Cl)C=CC(Cl)=C2C1=O,nan,"3-acetyl-5,8-dichloro-2-(methylsulfinyl)quinolin-4(1H)-one",nan,"3-acetyl-5,8-dichloro-2-(methylsulfinyl)quinolin- 4(1H)-one",False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,8
7,CS/C1=C(\C(C)=O)C(=O)C2=CC(F)=CC=C2N1C,nan,3-acetyl-6-fluoro-1-methyl-2-(methylthio)quinolin-4(1H)-one,nan,3-acetyl-6-fluoro-1-methyl-2-(methylthio)quinolin- 4(1H)-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,9
8,CS/C1=C(\C(C)=O)C(=O)C2=CC(F)=CC=C2N1,nan,1-(6-fluoro-4-hydroxy-2-(methylthio)quinolin-3-yl)ethan-1-one,nan,1-(6-fluoro-4-hydroxy-2-(methylthio)quinolin-3- yl)ethan-1-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,10
9,CC(=O)/C1=C(\S(C)=O)N(C(=O)C2=CC=C(Br)C=C2)C2=C(Br)C=CC(Cl)=C2C1=O,nan,3-acetyl-8-bromo-1-(4-bromobenzoyl)-5-chloro-2-(methylsulfinyl)quinolin-4(1H)-one,nan,3-acetyl-8-bromo-1-(4-bromobenzoyl)-5-chloro-2- (methylsulfinyl)quinolin-4(1H)-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,11
10,CC(=O)/C1=C(\SCC2=CC=C(Cl)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,nan,3-acetyl-8-bromo-5-chloro-2-((4-chlorobenzyl)thio)quinolin-4(1H)-one,nan,nan,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,12
