compound_id,iupac_name,mw,lcms_text,nmr_1h_text,flag_asterisk,flag_imaging_conflict,provenance_file,provenance_sheet,provenance_row
1,3-acetyl-8-bromo-5-chloro-2-(methylsulfinyl)quinol in-4(1H)-one,362.62,363,"¹H NMR (300 MHz, CDCl3)δ11.13 (br, 1H), 7.81 (d, J= 8.4 Hz, 1H), 7.37 (d, J= 8.4 Hz, 1H), 3.02 (s, 3H), 2.78 (s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,3
2,3-acetyl-8-bromo-5-chloro-2-(methylthio)quinolin-4(1H)-one,346.63,348,"¹H NMR (300 MHz, CDCl3) δ8.67(s,1H),7.91-7.88(d,J=8.19 Hz, 1H), 7.71-7.68(d, J=8.49 Hz, 1H), 2.97(s, 3H), 2.79(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,4
3,3-acetyl-2-(benzylthio)-8-bromo-5-chloroquinolin-4(1H)-one,422.72,423,"¹H NMR (300 MHz, CDCl3)δ16.43 (s, 0.5H), 8.59 (br, 0.5H), 7.91 (d, J= 8.3 Hz, 1H), 7.62 (d, J= 8.4 Hz, 0.5H), 7.48 7.52 (m, 3H), 7.27 7.43 (m, 5H), 7.22 (d, J= 8.4 Hz, 0.5H), 4.80 (s, 2H), 4.32 (s, 1H), 2.93 (s, 3H), 2.69 (s, 1.5H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,5
4,3-acetyl-2-(benzylsulfinyl)-8-bromo-5-chloroquinolin-4(1H)-one,438.72,439,"¹H NMR (300 MHz, CDCl3)δ10.24 (br, 1H), 7.67 (d, J= 8.4 Hz, 1H), 7.29 (d, J= 8.4 Hz, 1H), 7.13 7.22 (m, 3H), 7.08 7.11 (m, 2H), 4.59 4.25 (m, 2H), 2.84 (s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,6
5,3-acetyl-8-bromo-5-chloro-1-methyl-2-(methylthio)quinolin-4(1H)-one,360.65,360,"¹H NMR (300 MHz, CDCl3) δ7.92-7.89(d,J=8.22 Hz, 1H), 7.36-7.33(d, J=8.13 Hz, 1H), 3.89(s, 3H), 2.74(s, 3H), 2.65(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,7
6,"3-acetyl-5,8-dichloro-2-(methylsulfinyl)quinolin-4(1H)-one",318.17,318,"¹H NMR (300 MHz, CDCl3) δ11.07(s,1H),7.67-7.64(d,J=8.46 Hz, 1H), 7.44-7.41(d, J=8.46 Hz, 1H), 3.02(s, 3H), 2.78(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,8
7,3-acetyl-6-fluoro-1-methyl-2-(methylthio)quinolin-4(1H)-one,265.3,266,"¹H NMR (300 MHz, CDCl3) δ7.92-7.87(q,J=5.1, 3.99 Hz, 1H), 7.69-7.65(q, J=2.88, 6.45 Hz, 1H), 7.48-7.39(m, 1H), 4.53-4.46(q, J=7.14, 7.14 Hz, 2H), 4.08(s, 3H), 3.66(s, 3H), 1.48-1.44(t, J=7.14 Hz, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,9
8,1-(6-fluoro-4-hydroxy-2-(methylthio)quinolin-3-yl)ethan-1-one,251.28,252,"¹H NMR (300 MHz, CDCl3) δ7.83-7.78(m,2H),7.49-7.42(m,1H),4.59- 4.52(q,J=7.14 Hz, 2H), 2.58(s, 3H), 1.56-1.51(t, J=7.14 Hz, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,10
9,3-acetyl-8-bromo-1-(4-bromobenzoyl)-5-chloro-2-(methylsulfinyl)quinolin-4(1H)-one,545.63,544,"¹H NMR (300 MHz, CDCl3) δ8.09-8.07(d,J=5.73 Hz, 1H), 8.06-8.04(d, J=6.15 Hz, 2H), 7.73-7.70(d, J=8.58 Hz, 2H), 7.56-7.54(d, J=8.22 Hz, 1H), 3.15(s, 3H), 2.63(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,11
10,3-acetyl-8-bromo-5-chloro-2-((4-chlorobenzyl)thio)quinolin-4(1H)-one,457.16,456,"¹H NMR (300 MHz, DMSO) δ 7.65-7.62(d, J=8.13 Hz, 1H), 7.45-7.42(d, J=6.69 Hz, 2H), 7.29-7.26(d, J=8.34 Hz, 2H), 6.91-6.88(d, J=8.19 Hz, 1H), 4.44(s, 2H), 2.40(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,12
11,3-acetyl-8-bromo-5-chloro-2-((4-chlorobenzyl)sulfinyl)quinolin-4(1H)-one,473.16,472,"¹H NMR (300 MHz, CDCl3) δ10.21(s,1H),7.73-7.71(d,J=8.43 Hz, 1H), 7.33-7.31(d, J=8.37 Hz, 1H), 7.18-7.15(d, J=9 Hz, 2H), 7.05-7.03(d, J=8.25 Hz, 2H), 4.37(s, 2H), 2.84(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,13
12,3-acetyl-8-bromo-5-chloro-2-(phenylthio)quinolin-4(1H)-one,408.69,408,"¹H NMR (300 MHz, MeOD) δ 7.51-7.48(m, 2H), 7.46-7.43(d, J=8.11 Hz, 1H), 7.31-7.28(d, J=7.71 Hz, 3H), 6.81-6.78(d, J=8.19 Hz, 1H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,14
13,3-acetyl-8-bromo-5-chloro-2-(phenylsulfinyl)quinolin-4(1H)-one,424.69,424,"¹H NMR (300 MHz, CDCl3) δ7.84-7.75(m,2H),7.68-7.64(m,2H),7.52- 7.50(d,J=8.43 Hz, 1H), 7.48-7.45(m, 1H), 7.38-7.35(d, J=8.43 Hz, 1H), 2.78(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,15
14,3-acetyl-8-bromo-5-chloro-2-((2-methoxyphenyl)thio)quinolin-4(1H)-one,438.72,438,"¹H NMR (300 MHz, CDCl3) δ8.55(s,1H),7.709(m,1H),7.633(m,1H),7. 511(d,1H,J= 8.43 Hz), 7.158(m, 3H), 3.861(s, 3H), 2.781(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,16
