compound_id,iupac_name,smiles_raw,provenance_file,provenance_sheet,provenance_row,variable,value
1,"6,7-dimethoxy-2-methyl-N-[(1R)-1-(naphthalen-1-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C1=CC=CC2=CC=CC=C12,data/bronze/artifacts/2018_raw.xlsx,Sheet1,2,KRAS-SOS1 Interaction,1.33e-07
1,"6,7-dimethoxy-2-methyl-N-[(1R)-1-(naphthalen-1-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C1=CC=CC2=CC=CC=C12,data/bronze/artifacts/2018_raw.xlsx,Sheet1,2,KRAS-Activation by SOS high GTP,3.03e-07
1,"6,7-dimethoxy-2-methyl-N-[(1R)-1-(naphthalen-1-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C1=CC=CC2=CC=CC=C12,data/bronze/artifacts/2018_raw.xlsx,Sheet1,2,KRAS-Activation by SOS no GTP,3.7e-07
1,"6,7-dimethoxy-2-methyl-N-[(1R)-1-(naphthalen-1-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C1=CC=CC2=CC=CC=C12,data/bronze/artifacts/2018_raw.xlsx,Sheet1,2,EGFR kinase inhibition IC50,>2.00E-5
2,"N-[(1R)-1-(3-chlorophenyl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",ClC=1C=C(C=CC1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,3,KRAS-SOS1 Interaction,1.27e-07
2,"N-[(1R)-1-(3-chlorophenyl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",ClC=1C=C(C=CC1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,3,KRAS-Activation by SOS high GTP,2.07e-07
2,"N-[(1R)-1-(3-chlorophenyl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",ClC=1C=C(C=CC1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,3,KRAS-Activation by SOS no GTP,5.37e-07
2,"N-[(1R)-1-(3-chlorophenyl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",ClC=1C=C(C=CC1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,3,EGFR kinase inhibition IC50,1.83e-05
3,"methyl4-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-1-benzothiophene-2-carboxylate",COC(=O)C=1SC2=C(C1)C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,4,KRAS-SOS1 Interaction,1.13e-07
3,"methyl4-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-1-benzothiophene-2-carboxylate",COC(=O)C=1SC2=C(C1)C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,4,KRAS-Activation by SOS high GTP,1.15e-07
3,"methyl4-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-1-benzothiophene-2-carboxylate",COC(=O)C=1SC2=C(C1)C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,4,KRAS-Activation by SOS no GTP,2.31e-07
3,"methyl4-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-1-benzothiophene-2-carboxylate",COC(=O)C=1SC2=C(C1)C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,4,EGFR kinase inhibition IC50,>2.00E-5
