compound_id,iupac_name,smiles_raw,KRAS-SOS1 Interaction,KRAS-Activation by SOS high GTP,KRAS-Activation by SOS no GTP,EGFR kinase inhibition IC50,provenance_file,provenance_sheet,provenance_row
1,"6,7-dimethoxy-2-methyl-N-[(1R)-1-(naphthalen-1-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C1=CC=CC2=CC=CC=C12,1.33e-07,3.03e-07,3.7e-07,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,2
2,"N-[(1R)-1-(3-chlorophenyl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",ClC=1C=C(C=CC1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,1.27e-07,2.07e-07,5.37e-07,1.83e-05,data/bronze/artifacts/2018_raw.xlsx,Sheet1,3
3,"methyl4-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-1-benzothiophene-2-carboxylate",COC(=O)C=1SC2=C(C1)C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,1.13e-07,1.15e-07,2.31e-07,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,4
4,"N-[1-(1-benzofuran-7-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",O1C=CC2=C1C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,1.61e-07,2.43e-07,4.79e-07,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,5
5,"N-[1-(7-fluoro-1H-indazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",FC=1C=CC(=C2C=NNC12)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,1.71e-06,1.3e-06,5.06e-06,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,6
6,"N-[1-(6-fluoro-1H-indazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",FC1=CC(=C2C=NNC2=C1)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,2.28e-06,1.86e-06,4.98e-06,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,7
7,"6,7-dimethoxy-2-methyl-N-[1-(5-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C2C=NNC2=CC=C1C,0.44,0.18,0.33,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,8
8,"6,7-dimethoxy-2-methyl-N-[1-(2-methyl-2H-indazol-7-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=CC=CC2=CN(N=C12)C,1.82e-05,1.98e-05,0.14,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,9
9,"6,7-dimethoxy-2-methyl-N-[1-(2-methyl-2H-indazol-4-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1C2=CN(N=C2C=CC1)C,1.52e-06,1.37e-06,5.96e-06,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,10
10,"6,7-dimethoxy-2-methyl-N-[1-(1-methyl-1H-indazol-7-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1C=CC=C2C=NN(C12)C,1.18e-06,1.27e-06,8.14e-06,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,11
11,"6,7-dimethoxy-2-methyl-N-[1-(5,6,7,8-tetrahydronaphthalen-1-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=CC=CC=2CCCCC12,2.83e-07,2.21e-07,5.4e-07,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,12
12,"N-[(1R)-1-(4-fluorophenyl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",FC1=CC=C(C=C1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,3.35e-07,5.78e-07,1.29e-06,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,13
13,"6,7-dimethoxy-2-methyl-N-[1-(3-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C2C(=NNC2=CC=C1)C,2.82e-06,2.65e-06,7.73e-06,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,14
14,"N-[1-(1,3-benzothiazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",S1C=NC2=C1C=CC=C2C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,6.66e-07,6.08e-07,1.83e-06,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,15
15,"N-[1-(1-benzothiophen-7-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",S1C=CC2=C1C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,1.26e-07,9.11e-06,3.24e-07,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,16
16,"6,7-dimethoxy-2-methyl-N-[1-(6-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C2C=NNC2=CC(=C1)C,3.25e-06,3.02e-06,8.17e-06,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,17
17,"6,7-dimethoxy-2-methyl-N-[1-(1-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C2C=NN(C2=CC=C1)C,2.7e-07,2.97e-07,7.12e-07,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,18
18,"N-[1-(5-fluoro-1H-indazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",FC=1C(=C2C=NNC2=CC1)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,8.5e-06,7.88e-06,1.05e-05,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,19
19,"N-[1-(2,3-dihydro-1,4-benzodioxin-6-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",O1CCOC2=C1C=CC(=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,7.78e-06,6.55e-06,0.44,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,20
20,"N-[1-(1-benzofuran-2-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",O1C(=CC2=C1C=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,8.42e-06,8.2e-06,0.41,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,21
21,"N-[1-(2,3-dimethoxyphenyl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",COC1=C(C=CC=C1OC)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,3.16e-06,3.23e-06,1.11e-05,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,22
22,"N-[1-(2,3-dihydro-1-benzofuran-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",O1CCC2=C1C=CC=C2C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,1.77e-07,2.19e-07,5.89e-07,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,23
23,"N-[1-(1,3-benzodioxol-5-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",O1COC2=C1C=CC(=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,2.72e-06,1.85e-06,8.62e-06,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,24
24,"N-[1-(2,3-dihydro-1-benzofuran-5-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",O1CCC2=C1C=CC(=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,7.01e-07,1.22e-06,2.45e-06,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,25
25,"6,7-dimethoxy-2-methyl-N-[1-(5,6,7,8-tetrahydronaphthalen-2-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=CC=2CCCCC2C=C1,5.41e-07,8.5e-07,1.5e-06,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,26
26,"6,7-dimethoxy-2-methyl-N-[1-(2-methylimidazo[1,2-a]pyridin-3-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C(N=C2N1C=CC=C2)C,9.55e-06,0.52,6.96e-06,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,27
27,"N-[1-(1-benzothiophen-3-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",S1C=C(C2=C1C=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,3.68e-07,4.02e-07,4.98e-07,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,28
28,"2-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-1-benzofuran-7-ol",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1OC2=C(C1)C=CC=C2O,0.4,0.08,0.46,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,29
29,6-bromo-2-methyl-N-[(1R)-1-phenylethyl]quinazolin-4-amine,BrC=1C=C2C(=NC(=NC2=CC1)C)N[C@H](C)C1=CC=CC=C1,1.02e-05,1.09e-05,0.44,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,30
30,6-{[dimethyl(oxido)-lambda6-sulfanylidene]amino}-2-methyl-N-[(1R)-1-phenylethyl]quinazolin-4-amine,CS(=O)(C)=NC=1C=C2C(=NC(=NC2=CC1)C)N[C@H](C)C1=CC=CC=C1,1.34e-06,1.1e-06,2.91e-06,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,31
31,6-bromo-N-[(1R)-1-(4-fluorophenyl)ethyl]-2-methylquinazolin-4-amine,BrC=1C=C2C(=NC(=NC2=CC1)C)N[C@H](C)C1=CC=C(C=C1)F,8.59e-06,9.51e-06,0.49,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,32
