compound_label,smiles_raw,Starting Material ,starting_material_2,method,provenance_file,provenance_sheet,provenance_row
Example 1,CC(C)C1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C=CC=C1,I-1,CC(C)C1=C(B(O)O)C=CC=C1,A,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,5
Example 2,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C=CC=C1,I-1,COC1=C(B(O)O)C=CC=C1,A,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,6
Example 3,CN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2/N=C\C3=CN=C(C4=C(S(C)(=O)=O)C=CC=C4)N=C32)C=C1,I-1,OB(O)C1C=CC=CC=1*,A,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,7
Example 4,COC1=CC=CC(OC)=C1C1=NC=C2/C=N\N(CC3=CC=C(C4=NC(C(F)(F)F)=CN4C)C=C3)C2=N1,I-1,COC1=CC=CC(OC)=C1B(O)O,A,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,8
Example 5,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C(C)=CC=C1,I-1,COC1=C(B(O)O)C(C)=CC=C1,A,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,9
Example 6,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C(C)=CC=N1,I-1,COC1=C(B(O)O)C(C)=CC=N1,A,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,10
Example 7,CCS(=O)(=O)C1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C=CC=C1,I-1,CCS(=O)(=O)C1=C(B(O)O)C=CC=C1,A,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,11
Example 8,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C=CN=C1,I-1,COC1=C(B(O)O)C=CN=C1,A,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,12
Example 9,CC(C)C1=C(C2=N/C=C3/C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)/C3=N\2)C=CC=N1,I-1,BB-1,A,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,13
Example 10,CC(C)C1=C(C2=NC3=C(C=N2)/C=N\N3CC2=CC=C(C3=NC(C(F)(F)F)=CN3C)C=C2)C=CC=C1F,I-1,BB-2,A,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,14
Example 11,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C2CC2)=CC=C1,I-1,BB-3,A,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,15
Example 12,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,I-1,BB-4,A,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,16
Example 13,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=CN(C)C(C(F)(F)F)=N5)C=C4)C3=N2)C(C2CC2)=NC=N1,I-16,BB-4,B,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,17
Example 14,N1=C2C(C=NN2CC2=CC=C(C3N(C=C(C(F)(F)F)N=3)C([2H])([2H])[2H])C=C2)=CN=C1C1C(=NC=NC=1OC)C1CC1,I-15,BB-4,C,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,18
Example 15,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C2CCC2)=NC=N1,I-1,BB-20,B,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,19
Example 16,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C(C)C)C=C4)\C3=N\2)C(C2CCC2)=NC=N1,I-6,BB-20,B,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,20
Example 17,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C(F)=C4)\C3=N\2)C(C2CC2)=NC=N1,I-8,BB-4,B,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,21
Example 18,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)C=C1F,I-10,BB-4,B,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,22
Example 19,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C(C)C)C(F)=C4)C3=N2)C(C2CC2)=NC=N1,I-11,BB-4,B,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,23
Example 20,COC1=C(C2=N/C=C3\C=NN(CC4=C(F)C=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,I-9,BB-4,C,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,24
Example 21,CSC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C(C)=CC=C1,I-1,BB-6,A,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,25
Example 22,CC1=C2\C=NN(CC3=CC=C(C4=NC(C(F)(F)F)=CN4C)C=C3)\C2=N/C(C2=C(C(C)C)C=CC=C2)=N\1,I-2,CC(C)C1=C(B(O)O)C=CC=C1,A,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,26
Example 23,CC1=CC(C(F)(F)F)=NN1C1=CC=C(CN2N=CC3=C/N=C(C4=C(C(C)C)C=CC=C4)\N=C\32)C=C1,I-19,CC(C)C1=C(B(O)O)C=CC=C1,A,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,27
Example 24,CC(C)C1=C(C2=N/C=C3/C=NN(C(C)C4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)/C3=N\2)C=CC=C1,I-24,CC(C)C1=C(B(O)O)C=CC=C1,A,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,28
Example 25,CC1=NN(CC2=CC=C(C3=NC(C(F)(F)F)=CN3C)C=C2)/C2=N\C(C3=C(C(C)C)C=CC=C3)=N/C=C\12,I-4,CC(C)C1=C(B(O)O)C=CC=C1,A,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,29
Example 26,CC1=CC(C(F)(F)F)=NN1C1=CC=C(CN2N=CC3=C\N=C(C4=C(C(C)C)N=CC=C4)/N=C\32)C=C1,I-19,BB-1,A,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,30
Example 27,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(N5N=C(CF)C=C5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,I-19,BB-4,A,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,31
Example 28,COC1=C2/C=N\N(CC3=CC=C(N4N=C(CF)C=C4C)C=C3)C2=NC(C2=C(OC)N=CN=C2C2CC2)=N1,I-22,BB-4,A,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,32
Example 29,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(N5N=C(CF)C=C5C(C)C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,I-20,BB-4,B,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,33
Example 30,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(N5N=C(CF)C=C5C5=CC=CO5)C=C4)\C3=N\2)C(C2CC2)=NC=N1,I-21,B-4,B,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,34
Example 31,COC1=CC(CN2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)=CC=C1N1N=C(CF)C=C1C,I-23,BB-4,B,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,35
Example 32,CC1=CC(C(F)F)=NN1C1=CC=C(CN2/N=C\C3=CN=C(C4=C(C(C)C)N=CC=C4)N=C32)C=C1,I-32,BB-1,A,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,36
Example 33,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C)=NC=N1,I-1,BB-5,A,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,37
Example 34,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=CN(C(C)C)C(C(F)(F)F)=N5)C=C4)C3=N2)C(C2CC2)=NC=N1,I-17,BB-4,B,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,38
Example 35,COC1=CC(CN2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)=CC=C1C1=CN(C)C(C(F)(F)F)=N1,I-18,BB-4,B,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,39
Example 36,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NN(C)C(C(F)F)=N5)C=C4)\C3=N\2)C(C2CC2)=NC=N1,I-34,BB-4,A,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,40
Example 37,COC1=CC(C(F)(F)F)=NN1C1=CC=C(CN2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)C=C1,I-39,BB-4,A,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,41
Example 38,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(N5N=C(C(F)(F)F)C=C5SC)C=C4)\C3=N\2)C(C2CC2)=NC=N1,I-50,BB-4,A,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,42
Example 39,CCOC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(CF)=CN5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,I-1,BB-16,B,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,43
Example 40,CC(C)OC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,I-1,BB-26,C,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,44
