sample_label,smiles_raw,analytics_text,provenance_file,provenance_sheet,provenance_row
I-1,CN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2/N=C\C3=CN=C(Cl)N=C32)C=C1,"LC-MS (Method A) (ESI+): m/z 393, 395 (M+H); H-NMR (300 MHz, CDCl3) 8 9.06 (s, 1H), 8.18 (s, 1H), 7.61 (d, J = 8.1 Hz, 2H), 7.47 (d, J= 8.1 Hz, 2H), 7.30 (s, 1H), 5.69 (s, 2H), 3.74 (s, 3H).",data/bronze/artifacts/2020_raw.xlsx,"I-1 ~ I-64, BB-1 ~ BB-37",5
I-2,CC1=C2/C=N\N(CC3=CC=C(C4=NC(C(F)(F)F)=CN4C)C=C3)C2=NC(Cl)=N1,"LC-MS (Method A) (ESI+): m/z 407, 409 (M+H)""; 'H-NMR (300 MHz, CDC13) 8 8.16 (s, 1H), 7.60 (d, J = 8.1 Hz, 2H), 7.45 (d, J= 8.1 Hz, 2H), 7.29 (s, 1H), 5.66 (s, 2H), 3.74 (s, 3H), 2.81 (s, 3H).",data/bronze/artifacts/2020_raw.xlsx,"I-1 ~ I-64, BB-1 ~ BB-37",6
I-3,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2/N=C\C3=C(C)N=C(Cl)N=C32)C=C1,LC-MS (Method B) (ESI+): m/z 421.00 (M+H)*.,data/bronze/artifacts/2020_raw.xlsx,"I-1 ~ I-64, BB-1 ~ BB-37",7
I-4,C/C1=N/N(CC2=CC=C(C3=NC(C(F)(F)F)=CN3C)C=C2)C2=NC(Cl)=NC=C21,"LC-MS (Method A) (ESI+): m/z 407 (M+H); H-NMR (300 MHz, CDCl3) ở 8.95 (s, 1H), 7.60 (d, J = 8.1 Hz, 2H), 7.44 (d, J 8.1 Hz, 2H), 7.29 (s, 1H), 5.60 (s, 2H), 3.74 (s, 3H), 2.61 (s, 3H).",data/bronze/artifacts/2020_raw.xlsx,"I-1 ~ I-64, BB-1 ~ BB-37",8
I-5,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2/N=C\C3=CN=C(Cl)N=C32)C=C1,"LC-MS (Method A) (ESI+): m/z 407 (M+H)""; 'H-NMR (300 MHz, CDCI3) 5 9.07 (s, 1H), 8.20 (s, 1H), 7.56 (d, J= 8.4 Hz, 2H), 7.46 (d, J= 8.4 Hz, 2H), 7.38 (s, 1H), 5.70 (s, 2H), 4.04 (q,J  = 7.2 Hz, 2H), 1.26 (t, J = 7.2 Hz, 3H).",data/bronze/artifacts/2020_raw.xlsx,"I-1 ~ I-64, BB-1 ~ BB-37",9
I-6,CC(C)N1C=C(C(F)(F)F)N=C1C1=CC=C(CN2/N=C\C3=CN=C(Cl)N=C32)C=C1,"LCMS (Method B) (ESI+): m/z 421.00 (M+H)*; 'H-NMR (400 MHz, DMSO-d6) è 9.32 (s, 1H), 8.53 (s, 1H), 8.13-8.21 (m, 1H), 7.54 (d, J = 7.48 Hz, 2H), 7.39 (d, J = 7.98 Hz, 2H), 5.74 (s, 2H), 4.44 (td, J= 6.48, 12.96 Hz, 1H), 1.38 (d, J= 6.48 Hz, 6Н).",data/bronze/artifacts/2020_raw.xlsx,"I-1 ~ I-64, BB-1 ~ BB-37",10
I-7,CCN1C=C(C(F)(F)F)N=C1C1=NC=C(CN2/N=C\C3=CN=C(Cl)N=C32)C=C1,"LC-MS (Method A) (ESI+): m/z 408 (M+H)*; H-NMR (300 MHz, CDCI3) 9.07 (s, 1H), 8.65 (d, J = 2.1 Hz, 1H), 8.22 (d, J= 8.1 Hz, 1H), 8.20 (s, 1H), 7.81 (dd, J= 8.1, 2.1 Hz, 1H), 7.34 (s, 1H), 5.68 (s, 2H), 4.63 (q, J = 7.2 Hz, 2H), 1.45 (t, J = 7.2 Hz, 3H).",data/bronze/artifacts/2020_raw.xlsx,"I-1 ~ I-64, BB-1 ~ BB-37",11
I-8,CN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2/N=C\C3=CN=C(Cl)N=C32)C=C1F,"LC-MS (Method B) (ESI+): m/z 410.85 (M+H)""; H-NMR (400 MHz, DMSO-d) 5 9.33 (s, 1H), 8.54 (s, 1H), 7.99 (s, 1H), 7.57 (t, J =7.6 Hz, 1H), 7.31 (d, J= 10.8 Hz, 1H), 7.19 (d, J = 7.8 Hz, 1H), 5.76 (s, 2H), 3.58 (s, 3Н).",data/bronze/artifacts/2020_raw.xlsx,"I-1 ~ I-64, BB-1 ~ BB-37",12
I-9,CN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2/N=C\C3=CN=C(Cl)N=C32)C(F)=C1,LC-MS (Method C) (ESI+): m/z 410.90 (M+H)*.,data/bronze/artifacts/2020_raw.xlsx,"I-1 ~ I-64, BB-1 ~ BB-37",13
I-10,CCN1C=C(C(F)(F)F)N=C1C1=C(F)C=C(CN2/N=C\C3=CN=C(Cl)N=C32)C=C1,"LC-MS (Method B) (ESI+): m/z 424.90 (M+H)*; H-NMR (400 MHz, DMSO-d) d 9.33 (s, 1H), 8.54 (s, 1H), 8.10 (s, 1Н), 7.51-7.57 (m, 1H), 7.31 (d, J= 10.97 Hz, 1H), 7.19 (d, J =7.98 Hz, 1H), 5.77 (s, 2H), 3.86 (q, J=7.15 Hz, 2H), 1.25 (t, .J= 6.98 Hz, 3H).",data/bronze/artifacts/2020_raw.xlsx,"I-1 ~ I-64, BB-1 ~ BB-37",14
