sample_id,solub_pH2_grade,solub_pH7_grade,provenance_file,provenance_sheet,provenance_row
1,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,4
2,++,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,5
3,++,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,6
4,++,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,7
5,++,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,8
6,++,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,9
7,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,10
8,nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,11
9,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,12
10,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,13
11,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,14
12,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,15
13,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,16
14,++,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,17
15,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,18
16,++,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,19
17,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,20
18,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,21
19,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,22
20,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,23
21,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,24
22,++,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,25
23,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,26
24,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,27
25,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,28
26,++,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,29
27,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,30
28,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,31
29,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,32
30,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,33
31,nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,34
32,++,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,35
33,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,36
34,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,37
35,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,38
36,nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,39
37,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,40
38,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,41
39,++,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,42
40,++,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,43
41,nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,44
42,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,45
43,+,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,46
44,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,47
