sample_label,smiles_raw,usp1_ic50_grade,provenance_file,provenance_sheet,provenance_row
Compound Structure 1,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C=CN=C1,+,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,3
Compound Structure 2,CN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C2/N=C(C2=C(S(C)(=O)=O)C=CC=C2)\N=C/3)C=C1,++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,4
Compound Structure 3,CC1=CC=CC(S(C)(=O)=O)=C1C1=NC2=C(C=N1)/C=N\N2CC1=CC=C(C2=NC(C(F)(F)F)=CN2C)C=C1,++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,5
Compound Structure 4,CCS(=O)(=O)C1=C(C2=N/C3=C(C=NN3CC3=CC=C(C4=NC(C(F)(F)F)=CN4C)C=C3)/C=N\2)C=CC=C1,++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,6
Compound Structure 5,CC1=CC(C(F)F)=NN1C1=CC=C(CN2N=CC3=C\N=C(C4=C(C(C)C)N=CC=C4)/N=C\32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,7
Compound Structure 6,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C(C)=CC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,8
Compound Structure 7,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C(C)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,9
Compound Structure 8,CC1=CC(C(F)(F)F)=NN1C1=CC=C(CN2N=CC3=C/N=C(C4=C(C(C)C)N=CC=C4)\N=C\32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,10
Compound Structure 9,COC1=CC=CC(OC)=C1C1=NC=C2/C=N\N(CC3=CC=C(C4=NC(C(F)(F)F)=CN4C)C=C3)C2=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,11
Compound Structure 10,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C=CC=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,12
Compound Structure 11,CC1=CC(C(F)(F)F)=NN1C1=CC=C(CN2/N=C\C3=CN=C(C4=C(C(C)C)C=CC=C4)N=C32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,13
Compound Structure 12,COC1=C(C2=N/C=C3/C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)/C3=N\2)C(C)=CC=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,14
Compound Structure 13,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C(C#N)=CC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,15
Compound Structure 14,CC(C)C1=C(C2=NC=C3N=CN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C=CC=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,16
Compound Structure 15,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,17
