sample_label,smiles_raw,provenance_file,provenance_sheet,provenance_row,variable,value
,SMILES,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,29,usp1_ic50_grade,USP1 IC_50
,SMILES,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,99,usp1_ic50_grade,USP1 IC_50
Compound Structure 1,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C=CN=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,3,usp1_ic50_grade,+
Compound Structure 10,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C=CC=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,12,usp1_ic50_grade,+++
Compound Structure 100,COC1=C(C2=NC=C3N=C(C(C)C)N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C(C)C)C=C4)C3=N2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,106,usp1_ic50_grade,+++
Compound Structure 101,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2/N=C(/OC3CCC3)C3=CN=C(C4=C(OC)N=CN=C4C4CC4)N=C32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,107,usp1_ic50_grade,+++
Compound Structure 102,COC1=C(C2=NC=C3C(=N2)N(CC2=CC=C(C4=CN(C(C)C)C(C(F)(F)F)=N4)C=C2)/N=C\3OC)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,108,usp1_ic50_grade,+++
Compound Structure 103,CCC1=NC2=C\N=C(C3=C(OC)N=CN=C3C3CC3)/N=C\2N1CC1=CC=C(C2=NC(C(F)(F)F)=CN2C(C)C)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,109,usp1_ic50_grade,+++
Compound Structure 104,COC1=C(C2=NC=C3C(=N2)N([C@@H](C)C2=CC=C(C4=NC(C(F)(F)F)=CN4CCF)C=C2)/N=C\3OC)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,110,usp1_ic50_grade,+++
Compound Structure 105,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2/N=C(/N3CCC3)C3=CN=C(C4=C(OC)N=CN=C4C4CC4)N=C32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,111,usp1_ic50_grade,+++
Compound Structure 106,CCN1C(C2=CC=C(CN3/N=C(/OC)C4=CN=C(C5=C(OC)N=CN=C5C5CC5)N=C43)C=C2)=NC(C(F)(F)F)=C1Br,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,112,usp1_ic50_grade,+++
Compound Structure 107,COC1=C(C2=NC=C3C(=N2)N(C(C)C2=CC=C(C4=NC(C(F)(F)F)=CN4CCF)C=C2)/N=C\3OC)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,113,usp1_ic50_grade,+++
