ex_no,provenance_file,provenance_sheet,provenance_row,variable,value
300,data/bronze/artifacts/2021_raw.xlsx,Table 19,3,ki_a_nM,0.38
300,data/bronze/artifacts/2021_raw.xlsx,Table 19,3,ki_b_nM,nan
300,data/bronze/artifacts/2021_raw.xlsx,Table 19,3,ic50_null_uM,0.317
300,data/bronze/artifacts/2021_raw.xlsx,Table 19,3,ic50_wt_uM,5.3
301,data/bronze/artifacts/2021_raw.xlsx,Table 19,4,ki_a_nM,1.22
301,data/bronze/artifacts/2021_raw.xlsx,Table 19,4,ki_b_nM,nan
301,data/bronze/artifacts/2021_raw.xlsx,Table 19,4,ic50_null_uM,0.872
301,data/bronze/artifacts/2021_raw.xlsx,Table 19,4,ic50_wt_uM,>10
302,data/bronze/artifacts/2021_raw.xlsx,Table 19,5,ki_a_nM,0.3
302,data/bronze/artifacts/2021_raw.xlsx,Table 19,5,ki_b_nM,nan
302,data/bronze/artifacts/2021_raw.xlsx,Table 19,5,ic50_null_uM,0.359
302,data/bronze/artifacts/2021_raw.xlsx,Table 19,5,ic50_wt_uM,>10
303,data/bronze/artifacts/2021_raw.xlsx,Table 19,6,ki_a_nM,0.01
303,data/bronze/artifacts/2021_raw.xlsx,Table 19,6,ki_b_nM,nan
303,data/bronze/artifacts/2021_raw.xlsx,Table 19,6,ic50_null_uM,0.032
303,data/bronze/artifacts/2021_raw.xlsx,Table 19,6,ic50_wt_uM,0.6
304,data/bronze/artifacts/2021_raw.xlsx,Table 19,7,ki_a_nM,0.11
304,data/bronze/artifacts/2021_raw.xlsx,Table 19,7,ki_b_nM,nan
304,data/bronze/artifacts/2021_raw.xlsx,Table 19,7,ic50_null_uM,0.182
304,data/bronze/artifacts/2021_raw.xlsx,Table 19,7,ic50_wt_uM,4.1
305,data/bronze/artifacts/2021_raw.xlsx,Table 19,8,ki_a_nM,15.1
305,data/bronze/artifacts/2021_raw.xlsx,Table 19,8,ki_b_nM,nan
305,data/bronze/artifacts/2021_raw.xlsx,Table 19,8,ic50_null_uM,0.268
305,data/bronze/artifacts/2021_raw.xlsx,Table 19,8,ic50_wt_uM,8.77
306,data/bronze/artifacts/2021_raw.xlsx,Table 19,9,ki_a_nM,0.76
306,data/bronze/artifacts/2021_raw.xlsx,Table 19,9,ki_b_nM,nan
306,data/bronze/artifacts/2021_raw.xlsx,Table 19,9,ic50_null_uM,0.401
306,data/bronze/artifacts/2021_raw.xlsx,Table 19,9,ic50_wt_uM,>10
307,data/bronze/artifacts/2021_raw.xlsx,Table 19,10,ki_a_nM,1.88
307,data/bronze/artifacts/2021_raw.xlsx,Table 19,10,ki_b_nM,nan
307,data/bronze/artifacts/2021_raw.xlsx,Table 19,10,ic50_null_uM,0.349
307,data/bronze/artifacts/2021_raw.xlsx,Table 19,10,ic50_wt_uM,7.66
308,data/bronze/artifacts/2021_raw.xlsx,Table 19,11,ki_a_nM,2.34
308,data/bronze/artifacts/2021_raw.xlsx,Table 19,11,ki_b_nM,nan
308,data/bronze/artifacts/2021_raw.xlsx,Table 19,11,ic50_null_uM,0.62
308,data/bronze/artifacts/2021_raw.xlsx,Table 19,11,ic50_wt_uM,>10
309,data/bronze/artifacts/2021_raw.xlsx,Table 19,12,ki_a_nM,2.35
309,data/bronze/artifacts/2021_raw.xlsx,Table 19,12,ki_b_nM,nan
309,data/bronze/artifacts/2021_raw.xlsx,Table 19,12,ic50_null_uM,0.644
309,data/bronze/artifacts/2021_raw.xlsx,Table 19,12,ic50_wt_uM,7.44
310,data/bronze/artifacts/2021_raw.xlsx,Table 19,13,ki_a_nM,0.29
310,data/bronze/artifacts/2021_raw.xlsx,Table 19,13,ki_b_nM,nan
310,data/bronze/artifacts/2021_raw.xlsx,Table 19,13,ic50_null_uM,0.067
310,data/bronze/artifacts/2021_raw.xlsx,Table 19,13,ic50_wt_uM,1.6
311,data/bronze/artifacts/2021_raw.xlsx,Table 19,14,ki_a_nM,0.21
311,data/bronze/artifacts/2021_raw.xlsx,Table 19,14,ki_b_nM,nan
