compound_id,smiles_raw,iupac_name,lcms_text,nan,flag_asterisk,provenance_file,provenance_sheet,provenance_row
Example 301,CC1=CC2=C/C(C(=O)N(CC3=CC=CN=C3)CC3=NC=C(C(F)(F)F)C=C3)=C\C=C\2N=C1N,2-amino-3 -methy l-N-(3 -pyridinylmethy 1)-N - ((5-(trifluoromethyl)-2-pyridinyl)methyl)-6- quinolinecarboxamide,452.1,nan,Too blurry,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,3
Example 302,CC1=CC2=C/C(C(=O)N(CC3=CC=CC=N3)CC3=NC=C(C(F)(F)F)C=C3)=C\C=C\2N=C1N,2-am ino-3-methy l-N-(2 -pyridinylmethy 1)-N- ((5-(trifluoromethyl)-2-pyridinyl)methyl)-6- quinolinecarboxamide,452.1,nan,Missing Image,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,4
Example 303,CC1=CC2=C/C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)CC3=C(Cl)C=CC=N3)=C/C=C\2N=C1N,2-amino-N-((3-chloro-2-pyridinyl)methyl)-3- methyl-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-6-quinolinecarboxamide,486,nan,Missing Name,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,5
Example 304,CC1=CC2=C\C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)CC3=C(F)C=C(Cl)C=N3)=C/C=C\2N=C1N,2-amino-N-((5-chloro-3-fluoro-2- pyridiny l)methy 1) -3 -methy 1-N-((5- (trifluoromethyl)-2-pyridinyl)methy 1)-6- quinolinecarboxamide,504,nan,Fixed,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,6
Example 305,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C(C(F)(F)F)C=N3)CC3=CN=C(N)S3)=C/C2=C1,"2-amino-N-((2-am ino-1,3-thiazol-5- yl)methyl)-3-methyl-N-((5-(trifluoromethyl)- 2-pyridinyl)methyl)-6-quinolinecarboxamide",472.5,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,7
Example 306,CC1=CC2=C/C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)CC3=NN(C)C=N3)=C/C=C\2N=C1N,"2-amino-3-methyl-N-((l-methyl-lH-l,2,4- triazol-3-yl)methyl)-N-((5-(trifluoromethyl)- 2-pyridinyl)methyl)-6-quinolinecarboxamide",456.1,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,8
Example 307,CC1=C(N)N=C2/C=C(F)\C(C(=O)N(CC3=CC=C(C#N)C=N3)CC3CC3)=C/C2=C1,2-amino-N-((5-cyano-2-pyridinyl)methyl)-N- (cyclopropylmethyl)-7-fluoro-3-methyl-6- quinolinecarboxamide,390,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,9
Example 308,CC1=CC2=C(/C=C\C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3F)CC(C)C)=C/2)N=C1N,2-amino-N-((3-fluoro-5-(trifluoromethyl)-2- pyridiny l)methy 1) -3 -methy l-N-(2- methylpropyl)-6-quinolinecarboxamide,435.2,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,10
Example 309,CC1=CC2=C(/C=C\C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)[C@H](C)C3CC3)=C/2)N=C1N,2-amino-N-((lR)-l-cyclopropylethyl)-3- methyl-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-6-quinolinecarboxamide,429.2,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,11
Example 310,CC1=CC2=C/C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)CC3=C(F)C=CC=N3)=C(F)\C=C\2N=C1N,2 -amino -7 -fluoro -N-((3 -fluoro -2- pyridiny l)methy 1) -3 -methy 1-N-((5- (trifluoromethyl)-2-pyridinyl)methy 1)-6- quinolinecarboxamide,488,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,12
Example 311,CC1=C(N)N=C2/C=C(F)\C(C(=O)N(CC3=CC=C(C(F)(F)F)C=N3)CC3CC3)=C/C2=C1,2 -amino -N-(cy clopropy Imethy 1)-7-fluoro -3 -methyl-N-((5-(trifluoromethyl)-2-pyridinyl)methyl)-6-quinolinecarboxamide,433.3,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,13
Example 312,CC1=CC2=C\C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)CC3=C(F)C=CC=N3)=N/C=C\2N=C1N,"2 -amino -N-((3 -fluoro -2 -py ridiny l)methy 1) -3 -methyl-N-((5-(trifluoromethyl)-2-pyridinyl)methy 1)-1,7-naphthyridine-6-carboxamide",471,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,14
Example 313,CC1=CC2=C(/C=N\C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)CC(C)C)=C/2)N=C1N,"2-amino-3-methyl-N-(2-methylpropyl)-N-((5-(trifluoromethyl)-2-pyridinyl)methyl)-l,7-naphthyridine-6-carboxamide",418.1,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,15
Example 314,CC1=CC2=C(/C=C(F)\C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)CC(C)C)=C/2)N=C1N,2-amino-7-fluoro-3-methyl-N-(2-methylpropyl)-N-((5-(trifluoromethyl)-2-pyridinyl)methyl)-6-quinolinecarboxamide,435.2,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,16
Example 315,CC1=CC2=C/C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)CC3=NC=CN=C3)=C(F)\C=C\2N=C1N,2-amino-7-fluoro-3-methyl-N-(2-py raziny Imethy 1) -N-((5 - (trifluoromethy 1)-2-pyridinyl)methyl)-6-quinolinecarboxamide,471.2,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,17
Example 316,CC1=CC(CN(CC2=CC=C(C(F)(F)F)C=N2)C(=O)C2=CC3=C/C(C)=C(N)\N=C\3C=C2F)=NO1,"2-amino-7-fluoro-3-methyl-N-((5-methyl-l,2-oxazol-3-yl)methyl)-N-((5-(trifluoromethyl)-2-pyridinyl)methyl)-6-quinolinecarboxamide",474.2,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,18
Example 317,NC1=C(Br)C=C2/C=C(C(=O)N(CC3=CC=C(C(F)(F)F)C=N3)CC3=NC=CC=N3)\C=C/C2=N1,2 -amino -3 -bromo -N- (2-py rimidiny Imethy 1) -N- ((5 -(trifluoromethyl) -2 -py ridiny l)methy 1) -6-quinolinecarboxamide,517.0/519.0,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,19
Example 318,CC(C)CN(CC1=CC=C(C(F)(F)F)C=N1)C(=O)C1=C/C2=CC(Br)=C(N)N=C2/C=C\1,2-amino-3-bromo-N-(2-methylpropyl)-N-((5-(trifluoromethyl)-2-pyridinyl)methy 1)-6-quinolinecarboxamide,481.1/483.0,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,20
