sample_label,smiles_raw,name_text,nan,flag_asterisk,nan,flag_fixed,flag_too_blurry,flag_missing_image,flag_missing_name,provenance_file,provenance_sheet,provenance_row
Intermediate 1,CC1=C/C2=CC(C(=O)O)=CC=C2/N=C\1N,2-amino-3-methylquinoline-6-carboxylic acid,nan,Too blurry,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,3
Intermediate 1b,COC(=O)C1=CC=C2/N=C(NC(C)=O)\C(C)=C/C2=C1,Methyl 2-acetamido-3-methylquinoline-6-carboxylate,nan,Missing Image,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,4
Intermediate 1c,COC(=O)C1CCC2=C(C=C(C)C(NC(C)=O)=N2)C1,"Methyl 2-acetamido-3-methyl-5,6,7,8-tetrahydroquinoline-6-carboxylate",nan,Missing Name,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,5
Intermediate 1a,CC1=C/C2=C(CCC(C(=O)O)C2)/N=C\1N,"2-amino-3-methyl-5,6,7,8-tetrahydroquinoline-6-carboxylic acid",nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,6
Intermediate 2,[2H]C([2H])([2H])C1=C/C2=CC(C(=O)O)=CC=C2/N=C\1N,2-amino-3-(methyl-D3)quinoline-6-carboxylic acid,NC1C(*)=CC2C(=CC=C(C(=O)O)C=2)N=1,nan,nan,True,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,7
Intermediate 3a,COC(=O)C1=CC=C2/N=C(Cl)\C(Cl)=C/C2=C1,"Methyl 2,3-dichloroquinoline-6-carboxylate",nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,8
Intermediate 3b,COC(=O)C1=CC=C2/N=C(NCC3=CC=C(OC)C=C3)\C(Cl)=C/C2=C1,Methyl 3-chloro-2-((4-methoxybenzyl)amino)quinoline-6-carboxylate,nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,9
Intermediate 3c,COC(=O)C1=CC=C2/N=C(N)\C(Cl)=C/C2=C1,"Methyl 2-amino-3-chloroquinoline-6-carboxylate 2,2,2-trifluoroacetate",nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,10
Intermediate 3,NC1=N/C2=CC=C(C(=O)O)C=C2/C=C\1Cl,2-amino-3-chloroquinoline-6-carboxylic acid,nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,11
Intermediate 4a,CCOP(=O)(O)C(Br)C#N,Diethyl (bromo(cyano)methyl)phosphonate,nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,12
Intermediate 4b,COC(=O)C1=C\C=C2\N=C(N)C(Br)=C\C2=C\1,Methyl 2-amino-3-bromoquinoline-6-carboxylate,nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,13
Intermediate 4,NC1=N/C2=CC=C(C(=O)O)C=C2/C=C\1Br,2-amino-3-bromoquinoline-6-carboxylic acid,nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,14
Intermediate 5a,CC1=C/C2=CC(Br)=C(F)C=C2/N=C\1N,6-Bromo-7-fluoro-3-methylquinolin-2-amine,nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,15
Intermediate 5b,COC(=O)C1=C(F)/C=C2\N=C(N)C(C)=C\C2=C\1,Methyl 2-amino-7-fluoro-3-methylquinoline-6-carboxylate,nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,16
Intermediate 5,CC1=C/C2=CC(C(=O)O)=C(F)C=C2/N=C\1N,2-amino-7-fluoro-3-methylquinoline-6-carboxylic acid,nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,17
Intermediate 6a,[H]C(=O)C1=CC(C(=O)OC)=C(Cl)C=C1N,Methyl 4-amino-2-chloro-5-formylbenzoate,nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,18
Intermediate 6,CC1=C/C2=CC(C(=O)O)=C(Cl)C=C2/N=C\1N,2-amino-7-chloro-3-methylquinoline-6-carboxylic acid,nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,19
Intermediate 7,NC1=N/C2=CC=C(C(=O)O)C=C2/C(Br)=C\1,2-amino-4-methylquinoline-6-carboxylic acid,nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,20
Intermediate 8,NC1=N/C2=CC=C(C(=O)O)C=C2/C(Br)=C\1,2-amino-4-chloroquinoline-6-carboxylic acid,nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,21
Intermediate 9a,COC(=O)C1=C/C2=C(\C=C/1)N=C(Cl)C(C)=C2Cl,"Methyl 2,4-dichloro-3-methylquinoline-6-carboxylate",nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,22
Intermediate 9b,COC(=O)C1=CC2=C(C=C1)/N=C(NCC1=CC=C(OC)C=C1)\C(C)=C/2Cl,Methyl 4-chloro-2-((4-methoxybenzyl)amino)-3-methylquinoline-6-carboxylate,nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,23
Intermediate 9c,COC(=O)C1=CC2=C(C=C1)/N=C(NCC1=CC=C(OC)C=C1)\C(C)=C/2C,"Methyl 2-((4-methoxybenzyl)amino)-3,4-dimethylquinoline-6-carboxylate",nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,24
Intermediate 9,COC1=CC=C(CNC2=N/C3=C(C=C(C(=O)O)C=C3)/C(C)=C\2C)C=C1,"2-((4-methoxybenzyl)amino)-3,4-dimethylquinoline-6-carboxylic acid",nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,25
Intermediate 10a,CC1=CC2=C\C(C#N)=C/N=C\2N=C1N,"7-Amino-6-methyl-l,8-naphthyridine-3-carbonitrile",nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,26
Intermediate 10,CC1=CC2=C\C(C(=O)O)=C/N=C\2N=C1N,"7-amino-6-methyl-l,8-naphthyridine-3-carboxylic acid hydrochloride",nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,27
Intermediate 11a,CCOP(=O)(OCC)C(Cl)C#N,Diethyl (chloro(cyano)methyl)phosphonate,nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,28
Intermediate 11b,NC1=N/C2=NC=C(Br)C=C2/C=C\1Cl,"6-Bromo-3-chloro-l,8-naphthyridin-2-amine",nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,29
Intermediate 11c,COC(=O)C1=C/N=C2/N=C(N)C(Cl)=C/C2=C\1,nan,nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,30
Intermediate 11,NC1=N/C2=NC=C(C(=O)O)C=C2/C=C\1Cl,"7-amino-6-chloro-l,8-naphthyridine-3-carboxylic acid",nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,31
Intermediate 12a,N#CC1=C/N=C2\N=C(N)C(Br)=C\C2=C\1,"7-Amino-6-bromo-l,8-naphthyridine-3-carbonitrile",nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,32
Intermediate 12b,COC(=O)C1=C/N=C2/N=C(N)C(Br)=C/C2=C\1,"Methyl 7-amino-6-bromo-l,8-naphthyridine-3-carboxylate",nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,33
Intermediate 12,NC1=N/C2=NC=C(C(=O)O)C=C2/C=C\1Br,"7-amino-6-bromo-l,8-naphthyridine-3-carboxylic acid",nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,34
Intermediate 13,CC1=C/C2=CC(C(=O)O)=NC=C2/N=C\1N,"2-amino-3-methyl-l,7-naphthyridine-6-carboxylic acid",nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,35
Intermediate 14a,COC(=O)C1=N/C=C2/N=C(N)C(Cl)=C/C2=C\1,nan,nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,36
Intermediate 14,NC1=NC2=C/N=C(C(=O)O)\C=C\2C=C1Cl,"2-amino-3-chloro-l,7-naphthyridine-6-carboxylic acid",nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,37
Intermediate 15a,COC(=O)C1=NC=C2/N=C(N)\C(Br)=C/C2=C1,nan,nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,38
Intermediate 15,NC1=NC2=C\N=C(C(=O)O)/C=C\2C=C1Br,"2-amino-3-bromo-l,7-naphthyridine-6-carboxylic acid",nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,39
Intermediate 16,CC1=C/C2=CC(C(=O)Cl)=CC=C2/N=C\1N,2-amino-3-methylquinoline-6-carbonyl chloride hydrochloride,nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,40
Intermediate 17,NC1=NC2=N/C=C(C(=O)Cl)\C=C\2C=C1Br,"7-amino-6-bromo-1,8-naphthyridine-3-carbonyl chloride hydrochloride",nan,nan,nan,nan,False,False,False,data/bronze/artifacts/2021_raw.xlsx,Intermediate 1~249,41
