ex_no,ki_a_nM,ki_b_nM,ic50_null_uM,ic50_wt_uM,provenance_file,provenance_sheet,provenance_row
300,0.38,nan,0.317,5.3,data/bronze/artifacts/2021_raw.xlsx,Table 19,3
301,1.22,nan,0.872,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,4
302,0.3,nan,0.359,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,5
303,0.01,nan,0.032,0.6,data/bronze/artifacts/2021_raw.xlsx,Table 19,6
304,0.11,nan,0.182,4.1,data/bronze/artifacts/2021_raw.xlsx,Table 19,7
305,15.1,nan,0.268,8.77,data/bronze/artifacts/2021_raw.xlsx,Table 19,8
306,0.76,nan,0.401,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,9
307,1.88,nan,0.349,7.66,data/bronze/artifacts/2021_raw.xlsx,Table 19,10
308,2.34,nan,0.62,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,11
309,2.35,nan,0.644,7.44,data/bronze/artifacts/2021_raw.xlsx,Table 19,12
310,0.29,nan,0.067,1.6,data/bronze/artifacts/2021_raw.xlsx,Table 19,13
311,0.21,nan,0.163,2.84,data/bronze/artifacts/2021_raw.xlsx,Table 19,14
312,0.36,nan,0.806,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,15
313,0.98,nan,0.902,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,16
314,0.35,nan,0.218,5.13,data/bronze/artifacts/2021_raw.xlsx,Table 19,17
315,0.25,nan,0.181,4.34,data/bronze/artifacts/2021_raw.xlsx,Table 19,18
316,1.03,nan,0.534,10.35,data/bronze/artifacts/2021_raw.xlsx,Table 19,19
317,0.56,nan,0.612,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,20
318,1.91,nan,0.952,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,21
319,nan,nan,0.168,4.23,data/bronze/artifacts/2021_raw.xlsx,Table 19,22
320,0.28,nan,0.079,3.48,data/bronze/artifacts/2021_raw.xlsx,Table 19,23
321,0.15,nan,0.288,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,24
322,1.09,nan,0.385,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,25
323,0.36,nan,0.159,5.01,data/bronze/artifacts/2021_raw.xlsx,Table 19,26
324,2,nan,0.849,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,27
325,2.76,nan,0.679,6.18,data/bronze/artifacts/2021_raw.xlsx,Table 19,28
326,0.16,nan,0.125,4.32,data/bronze/artifacts/2021_raw.xlsx,Table 19,29
327,0.35,nan,0.304,8.64,data/bronze/artifacts/2021_raw.xlsx,Table 19,30
328,0.41,nan,0.178,4.64,data/bronze/artifacts/2021_raw.xlsx,Table 19,31
329,0.13,nan,0.128,3.9,data/bronze/artifacts/2021_raw.xlsx,Table 19,32
330,1.87,nan,0.628,8.57,data/bronze/artifacts/2021_raw.xlsx,Table 19,33
331,0.13,nan,0.49,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,34
332,4.87,nan,0.479,5.14,data/bronze/artifacts/2021_raw.xlsx,Table 19,35
333,0.002,nan,0.027,0.72,data/bronze/artifacts/2021_raw.xlsx,Table 19,36
334,0.34,nan,0.434,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,37
335,0.73,nan,0.727,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,38
336,0.47,nan,0.4,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,39
337,0.39,nan,0.434,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,40
338,0.8,nan,0.232,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,41
339,nan,nan,0.405,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,42
340,1.39,nan,0.505,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,43
341,0.52,nan,0.437,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,44
342,2.72,nan,0.73,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,45
343,0.66,nan,0.104,2.83,data/bronze/artifacts/2021_raw.xlsx,Table 19,46
