compound_key,compound_id,iupac_name,mw,lcms_text,nmr_1h_text,flag_asterisk,flag_imaging_conflict,flag_smiles_o3_changed,year,provenance_file,provenance_sheet,provenance_row
,Example 350,"7-amino-6-bromo-N-((6-bromo-3- pyridazinyl)methyl)-N-((lR)-l-(2- pyrimidiny l)ethy 1)-1,8-naphthyridine-3 - carboxamide",,545.8,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,52
,Example 471,"2-amino-N-((3R,4S)-4- hydroxytetrahydro-2H- pyran-3 -y 1)-3 -methy 1- N-((5- (trifluoromethy 1) -2- pyridinyl)methyl)-6- quinolinecarboxamide",,461.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,220
,Example 729,2-amino-3-bromo-N-((6-ethoxy-3- pyridazinyl)methyl)-N-((lR)-l-(2- pyrimidinyl)ethyl)-6-quinolinecarboxamide,,"508.1, 510.0",,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,146
,Example 730,"7-amino-6-bromo-N-((lR)-l-(3-fluoro-2- pyridinyl)ethyl)-N-((6-(4-morpholinyl)-3- py ridaziny l)methy 1) -1,8 -naphthy ridine -3 - carboxamide",,"566.9, 568.8",,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,147
,Example 731,2-amino-7-fluoro-3-methyl-N-((6-(4- morpholiny 1) -3 -py ridaziny l)methy 1) -N-(( 1R)- 1 -(2 -pyrimidinyl)ethy 1)-6- quinolinecarboxamide,,503.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,148
,Example 732,2-amino-3-bromo-N-((lS)-l-cyclopropyl-2- methoxyethyl)-N-((6-(4-morpholiny 1)-3- pyridazinyl)methyl)-6-qumolinecarboxamide,,"541.1, 543.3",,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,149
,Example 746,(R)-2-amino-3-bromo-N-((6- (difluoromethoxy)py ridazin-3 -y l)methy 1) -N - (1 -(pyrimidin-2-y l)ethy l)quinoline-6- carboxamide,,530,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,163
,Example 751,"2 -amino - N-((lR,2R)-2-methoxy-2,3 -dihy dro- 1 H-inden-1 -y 1)-3 -methy 1-N-((5- (trifluoromethyl)-2-pyridinyl)methy 1)-6- quinolinecarboxamide",,507.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,168
,Example 752,"2-amino-N-((l S,2S)-2 -methoxy -2,3-dihydro- 1 H-inden-1 -y 1)-3 -methy 1-N-((5- (trifluoromethyl)-2-pyridinyl)methy 1)-6- quinolinecarboxamide",,507.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,169
,Example 753,"2-amino-N-((l S,2S)-2 -methoxy -2,3-dihydro- 1 H-inden-1 -y 1)-3 -methy 1-N-((5- (trifluoromethyl)-2-pyridinyl)methy 1)-6- quinolinecarboxamide",,433.3,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,170
,Example 754,N-((5-acetyl-2-pyridinyl)methyl)-2-amino-3- methyl-N-((lR)-l-(2-pyrimidinyl)ethy 1)-6- quinolinecarboxamide,,441.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,171
,Example 779,,,,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,256
,Example 783,,,,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,260
,Example 793,"(R)-7-amino-6-bromo-N-(l-(pyrimidin-2- yl)ethyl)-N-((6-(2,2,2- trifluoroethoxy)pyridazin-3-yl)methyl)-l,8- naphthyridine-3 -carboxamide",,563,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,283
,Example 794,,,,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,284
,Example 801,2-amino-N-((5-(2-hydroxy-2-propanyl)-2- pyridiny l)methy 1)-3 -methyl-N-(( 1R)-1 -(2- pyrimidinyl)ethyl)-6-quinolinecarboxamide,,457.3,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,291
,Example 802,"2-amino-3 -methyl-N-(4-(3 -oxetany l)benzy 1)- N-((lR)-l-(2-pyrimidinyl)ethyl)-6- quinolinecarboxamide, 2-amino-3-methy 1-N- (4-(3-oxetanyl)benzyl)-N-((lS)-l-(2- pyrimidinyl)ethyl)-6-quinolinecarboxamide",,454.3,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,292
,Example 804,2-amino-7-chloro-N-((3-fluoro-2- pyridinyl)methyl)-3-methyl-N-((5- (trifluorome thy 1)-2 -py ridiny l)methy 1)-6- quinolinecarboxamide,,503.9,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,294
,Example 805,2-amino-3-methyl-N-(2-methyl-l-(pyrimidin- 2-yl)propyl)-N-((5-(trifluoromethyl)pyridin-2- yl)methyl)quinoline-6-carboxamide,,495.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,295
,Example 811,(R)-2-amino-N-(l-(6- cyanopyridin-2-yl)ethyl)-3- methyl-N-((5- (trifluoromethyl)pyridin-2- y l)methy 1) quinoline -6 - carboxamide,,491.1,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,324
,Example 812,"2-amino-N-((lR,2R)-2- cyanocyclopentyl)-3-methyl-N- ((5 -(trifluoromethy l)py ridin-2- y l)methy 1) quinoline -6 - carboxamide",,454.1,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,325
,Example 819,2 -amino -N-((6 -chloro -3 - py ridaziny l)methy 1)-3 -methy 1-N - ((lR)-l-(2-pyrimidinyl)ethyl)-6- quinolinecarboxamide,,434.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,332
,Example 820,2-amino-N-((6-cyano-2-methyl- 3-pyridinyl)methyl)-3-methyl-N- ((lR)-l-(2-pyrimidinyl)ethyl)-6- quinolinecarboxamide,,438.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,333
,Example 833b,"2-(bis(4-methoxybenzyl)amino)-N-((3R,4R)-4- methoxytetrahydro-2H-pyran-3-yl)-3-methyl-N-((5-(trifluoromethyl)pyridin-2-yl)methyl)quinoline-6- carboxamide",,,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,534
ABKNVPNFQIFWEI-GFCCVEGCSA-N,Example 346,"7-amino-6-bromo-N-((lR)-l-(2,4- difluorophenyl)ethyl)-N-((5-(trifluoromethyl)- 2 -py ridiny l)methy 1) -1,8 -naphthy ridine -3 - carboxamide",,566/568,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,48
