compound_key,smiles_canonical,has_structure,iupac_name,inchikey14
,,False,"7-amino-6-bromo-N-((6-bromo-3- pyridazinyl)methyl)-N-((lR)-l-(2- pyrimidiny l)ethy 1)-1,8-naphthyridine-3 - carboxamide",
,,False,"2-amino-N-((3R,4S)-4- hydroxytetrahydro-2H- pyran-3 -y 1)-3 -methy 1- N-((5- (trifluoromethy 1) -2- pyridinyl)methyl)-6- quinolinecarboxamide",
,,False,2-amino-3-bromo-N-((6-ethoxy-3- pyridazinyl)methyl)-N-((lR)-l-(2- pyrimidinyl)ethyl)-6-quinolinecarboxamide,
,,False,"7-amino-6-bromo-N-((lR)-l-(3-fluoro-2- pyridinyl)ethyl)-N-((6-(4-morpholinyl)-3- py ridaziny l)methy 1) -1,8 -naphthy ridine -3 - carboxamide",
,,False,2-amino-7-fluoro-3-methyl-N-((6-(4- morpholiny 1) -3 -py ridaziny l)methy 1) -N-(( 1R)- 1 -(2 -pyrimidinyl)ethy 1)-6- quinolinecarboxamide,
,,False,2-amino-3-bromo-N-((lS)-l-cyclopropyl-2- methoxyethyl)-N-((6-(4-morpholiny 1)-3- pyridazinyl)methyl)-6-qumolinecarboxamide,
,,False,(R)-2-amino-3-bromo-N-((6- (difluoromethoxy)py ridazin-3 -y l)methy 1) -N - (1 -(pyrimidin-2-y l)ethy l)quinoline-6- carboxamide,
,,False,"2 -amino - N-((lR,2R)-2-methoxy-2,3 -dihy dro- 1 H-inden-1 -y 1)-3 -methy 1-N-((5- (trifluoromethyl)-2-pyridinyl)methy 1)-6- quinolinecarboxamide",
,,False,"2-amino-N-((l S,2S)-2 -methoxy -2,3-dihydro- 1 H-inden-1 -y 1)-3 -methy 1-N-((5- (trifluoromethyl)-2-pyridinyl)methy 1)-6- quinolinecarboxamide",
,,False,"2-amino-N-((l S,2S)-2 -methoxy -2,3-dihydro- 1 H-inden-1 -y 1)-3 -methy 1-N-((5- (trifluoromethyl)-2-pyridinyl)methy 1)-6- quinolinecarboxamide",
,,False,N-((5-acetyl-2-pyridinyl)methyl)-2-amino-3- methyl-N-((lR)-l-(2-pyrimidinyl)ethy 1)-6- quinolinecarboxamide,
,,False,,
,,False,,
,,False,"(R)-7-amino-6-bromo-N-(l-(pyrimidin-2- yl)ethyl)-N-((6-(2,2,2- trifluoroethoxy)pyridazin-3-yl)methyl)-l,8- naphthyridine-3 -carboxamide",
,,False,,
,,False,2-amino-N-((5-(2-hydroxy-2-propanyl)-2- pyridiny l)methy 1)-3 -methyl-N-(( 1R)-1 -(2- pyrimidinyl)ethyl)-6-quinolinecarboxamide,
,,False,"2-amino-3 -methyl-N-(4-(3 -oxetany l)benzy 1)- N-((lR)-l-(2-pyrimidinyl)ethyl)-6- quinolinecarboxamide, 2-amino-3-methy 1-N- (4-(3-oxetanyl)benzyl)-N-((lS)-l-(2- pyrimidinyl)ethyl)-6-quinolinecarboxamide",
,,False,2-amino-7-chloro-N-((3-fluoro-2- pyridinyl)methyl)-3-methyl-N-((5- (trifluorome thy 1)-2 -py ridiny l)methy 1)-6- quinolinecarboxamide,
,,False,2-amino-3-methyl-N-(2-methyl-l-(pyrimidin- 2-yl)propyl)-N-((5-(trifluoromethyl)pyridin-2- yl)methyl)quinoline-6-carboxamide,
,,False,(R)-2-amino-N-(l-(6- cyanopyridin-2-yl)ethyl)-3- methyl-N-((5- (trifluoromethyl)pyridin-2- y l)methy 1) quinoline -6 - carboxamide,
,,False,"2-amino-N-((lR,2R)-2- cyanocyclopentyl)-3-methyl-N- ((5 -(trifluoromethy l)py ridin-2- y l)methy 1) quinoline -6 - carboxamide",
,,False,2 -amino -N-((6 -chloro -3 - py ridaziny l)methy 1)-3 -methy 1-N - ((lR)-l-(2-pyrimidinyl)ethyl)-6- quinolinecarboxamide,
,,False,2-amino-N-((6-cyano-2-methyl- 3-pyridinyl)methyl)-3-methyl-N- ((lR)-l-(2-pyrimidinyl)ethyl)-6- quinolinecarboxamide,
,,False,"2-(bis(4-methoxybenzyl)amino)-N-((3R,4R)-4- methoxytetrahydro-2H-pyran-3-yl)-3-methyl-N-((5-(trifluoromethyl)pyridin-2-yl)methyl)quinoline-6- carboxamide",
ABKNVPNFQIFWEI-GFCCVEGCSA-N,C[C@H](c1ccc(F)cc1F)N(Cc1ccc(C(F)(F)F)cn1)C(=O)c1cnc2nc(N)c(Br)cc2c1,True,"7-amino-6-bromo-N-((lR)-l-(2,4- difluorophenyl)ethyl)-N-((5-(trifluoromethyl)- 2 -py ridiny l)methy 1) -1,8 -naphthy ridine -3 - carboxamide",ABKNVPNFQIFWEI
ACDXYRYJNXBAHB-MRXNPFEDSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C4CC4)nn3)[C@H](C)c3ncccn3)ccc2nc1N,True,(R)-2-amino-N-((6-cyclopropylpyridazin-3- yl)methyl)-3-methyl-N-(l-(pyrimidin-2- y l)ethy 1) quinoline -6-carboxamide,ACDXYRYJNXBAHB
ACNPIFIOTOXALQ-CQSZACIVSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C(F)(F)F)cn3)[C@H](C)c3ncccn3)c(F)cc2nc1N,True,2-amino-7-fluoro-3-methyl-N-((lR)-l-(2- pyrimidinyl)ethyl)-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-6-quinolinecarboxamide,ACNPIFIOTOXALQ
ADBVHMSKTNMBPJ-CQSZACIVSA-N,COC[C@@H](C)N(Cc1ccc(C(F)(F)F)cn1)C(=O)c1ccc2nc(N)c(C)cc2c1,True,2-amino-N-((2R)-l-methoxy-2-propanyl)-3- methyl-N-((5-(trifluoromethy 1)-2- pyridinyl)methyl)-6-quinolinecarboxamide,ADBVHMSKTNMBPJ
ADKOKABXWJERAN-UHFFFAOYSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C(F)(F)F)cn3)CC3(C#N)CC3)ccc2nc1N,True,2-amino -N-((1- cyanocyclopropyl)methyl)-3- methyl-N-((5- (trifluoromethyl)pyridin-2- yl)methyl)quinoline-6- carboxamide,ADKOKABXWJERAN
AERRRTPQVSZRQK-UHFFFAOYSA-N,Cc1cc(C(F)(F)F)ccc1CN(Cc1ncccc1F)C(=O)c1ccc2nc(N)c(C)cc2c1,True,2 -amino -N- ((3 -fluoro -2 -py ridiny l)methy 1) -3 - mcthyl-N-(2-mcthyl-4- (trifluoromethy l)benzy 1)-6 - quinolinecarboxamide,AERRRTPQVSZRQK
AGSIRUUOABPXBF-UHFFFAOYSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C(F)(F)F)cn3)Cc3ccc4cc[nH]c4n3)ccc2nc1N,True,"N-((lH-pyrrolo[2,3-b]pyridin-6- yl)methyl)-2-amino-3-methyl-N-((5 -(trifluoromethy l)pyridin-2- yl)methyl)quinoline-6- carboxamide",AGSIRUUOABPXBF
APJDETLTHJNQLB-OAHLLOKOSA-N,C[C@H](c1ncccn1)N(Cc1cc2c(cn1)OCCC2)C(=O)c1ccc2nc(N)c(I)cc2c1,True,"(R)-2-amino-N-((3,4-dihydro-2H-pyrano[2,3-c]pyridin-6-yl)methyl)- 3-iodo-N-(l-(pyrimidin-2-yl)ethyl)quinoline-6-carboxamide",APJDETLTHJNQLB
AUWXOMWPQBFRGQ-CYBMUJFWSA-N,Cc1c(Br)c(N)nc2ncc(C(=O)N(Cc3ccc(C(F)(F)F)cn3)[C@H](C)c3ncccn3)cc12,True,"(R) -7-amino-6-bromo-5 -methyl-N-(1- (pyrimidin-2-yl)ethyl)-N-((5- (trifluoromethy l)py ridin-2 -y l)me thy 1) -1,8 - naphthyridine-3 -carboxamide",AUWXOMWPQBFRGQ
AVDZOAKOBSZUNW-RTBURBONSA-N,COc1ccc(CN(C(=O)c2ccc3nc(N)c(C)cc3c2)[C@@H]2CCC[C@H]2O)nn1,True,"2-amino-N-((lR,2R)-2-hydroxycyclopentyl)- N-((6 -methoxy pyridazin-3 -y l)methy 1)-3- methylquinoline-6-carboxamide",AVDZOAKOBSZUNW
AVXLYKLPBGZPCH-CYBMUJFWSA-N,C[C@H](c1ncccn1)N(Cc1ccc(C(F)(F)F)cn1)C(=O)c1ccc2nc(N)c(I)cc2c1,True,(R)-2-amino-3-iodo-N-(l-(pyrimidin-2-yl)ethyl)-N-((5- (trifluoromethyl)pyridin-2-yl)methyl)quinoline-6-carboxamide,AVXLYKLPBGZPCH
AWMYUEQLMFZHJG-CYBMUJFWSA-N,C[C@H](c1ncccn1)N(Cc1cc(Cl)c(C#N)cn1)C(=O)c1ccc2nc(N)c(Br)cc2c1,True,(R) -2-amino-3 -bromo-N-((4-chloro-5 - cyanopyridin-2-yl)methyl)-N-(l-(pyrimidin-2- yl)ethyl)quinoline-6-carboxamide,AWMYUEQLMFZHJG
BADXAESYBUHPQZ-QZTJIDSGSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(Br)nn3)[C@@H]3CCC[C@H]3O)ccc2nc1N,True,"2-amino-N-((6-bromo-3-pyridazinyl)methyl)- N-((1R, 2R)-2 -hydroxy cyclopenty l)-3-methyl- 6-quinolinecarboxamide",BADXAESYBUHPQZ
BAEUPDLQCHIXQC-CYBMUJFWSA-N,C[C@H](c1ncccn1)N(Cc1ccc(C(F)(F)F)cn1)C(=O)c1ccc2nc(N)cc(Cl)c2c1,True,2 -amino -4 -chloro -N-(( 1R) -1-(2 - pyrimidinyl)ethyl)-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-6-quinolinecarboxamide,BAEUPDLQCHIXQC
BBGUOWHRNUUUKV-UHFFFAOYSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C(F)(F)F)cn3)Cc3ncn(C)n3)ccc2nc1N,True,"2-amino-3-methyl-N-((l-methyl-lH-l,2,4- triazol-3-yl)methyl)-N-((5-(trifluoromethyl)- 2-pyridinyl)methyl)-6-quinolinecarboxamide",BBGUOWHRNUUUKV
BBJIJKUJVOAYBL-UHFFFAOYSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(N4CCCC4)cc3)Cc3ccc(C(F)(F)F)cn3)ccc2nc1N,True,2-amino-3-methyl-N-[(4-pyrrolidin-l- y Ipheny l)methy 1] -N-[ [5 -(trifluorome thy 1)-2-pyridyl]methyl] quinoline-6-carboxamide,BBJIJKUJVOAYBL
BBSZZJLVZSGIER-UHFFFAOYSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C(F)(F)F)cn3)CC3CCOCC3C)ccc2nc1N,True,2-amino-3-methyl-N-((3- methyltetrahydro-2H-pyran-4- yl)methyl)-N-((5- (trifluoromethyl)pyridin-2- y l)methy 1) quinoline -6 - carboxamide,BBSZZJLVZSGIER
BBWYAUPUPLMIOS-MRXNPFEDSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(Br)c(C)n3)[C@H](C)c3ncccn3)ccc2nc1N,True,2-amino-N-((5 -bromo-6-methyl-2-pyridinyl)methyl)-3-methyl-N-((lR)-l-(2-pyrimidinyl)ethy 1)-6-quinolinecarboxamide,BBWYAUPUPLMIOS
BCJQJDQJTMOYAG-OAHLLOKOSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C(F)(F)F)cn3)[C@H](C)c3cnccn3)ccc2nc1N,True,2-am ino-3 -methy 1-N- ((lR)-l-(2- pyrazinyl)ethyl)-N-((5- (trifluoromethy 1) -2-pyridinyl)methyl)-6- quinolinecarboxamide,BCJQJDQJTMOYAG
BDVQCNJHIZCJKY-CQSZACIVSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C(F)F)cn3)[C@H](C)c3ncn(C)n3)ccc2nc1N,True,"2-amino-N-((5 -(difluoromethyl) - 2-pyridinyl)methyl)-3-methyl-N- ((lR)-l-(l-methyl-lH-l,2,4- triazol-3 -yl)ethy 1)-6- quinolinecarboxamide",BDVQCNJHIZCJKY
BFWPWGWPCDHZJR-CQSZACIVSA-N,C[C@H](c1ncccn1)N(Cc1ccc(C2CC2)nn1)C(=O)c1ccc2nc(N)c(Br)cc2c1,True,(R)-2-amino-3-bromo-N-((6- cyclopropylpyridazin-3-yl)methyl)-N-(l- (pyrimidin-2-yl)ethyl)quinoline-6- carboxamide,BFWPWGWPCDHZJR
BLQHXMUPWCKWAT-UHFFFAOYSA-N,Cc1cc2cc(C(=O)N(Cc3ccc4[nH]c(=O)oc4c3)Cc3ccc(C(F)(F)F)cn3)ccc2nc1N,True,"2-amino-3 -methy 1-N-((2-oxo-2,3 -dihydrobenzo [d]oxazol-6-yl)methyl)-N-((5-(trifluoromethyl)pyridin-2-yl)methyl)quinoline-6-carboxamide",BLQHXMUPWCKWAT
BPERTUQZSTXAPI-GFCCVEGCSA-N,C[C@H](c1ncccn1)N(Cc1ccc(Br)nn1)C(=O)c1ccc2nc(N)c(Br)cc2c1,True,(R) -2-amino-3 -bromo-N-((6-bromopy ridazin- 3-yl)methyl)-N-(l-(pyrimidin-2- yl)ethyl)quinoline-6-carboxamide,BPERTUQZSTXAPI
BTHXAKBMGXZRRY-MRXNPFEDSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C(F)(F)F)cn3)[C@H](C)c3ccc(F)cc3)ccc2nc1N,True,2 -amino -N-(( 1R) -1 - (4 -fluor opheny l)ethy 1)-3- methyl-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-6-quinolinecarboxamide,BTHXAKBMGXZRRY
BVKONFCKGFMQNN-HXUWFJFHSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C(F)(F)F)nn3)[C@@H]3CCc4cccnc43)ccc2nc1N,True,"2-amino-N-((7R)-6,7-dihydro-5H- cyclopenta[b]pyridin-7-yl)-3-methyl-N-((6- (trifluoromethyl)-3-pyridazinyl)methyl)-6- quinolinecarboxamide",BVKONFCKGFMQNN
BWCSWVPPFONQIU-UHFFFAOYSA-N,Cc1cc2cc(C(=O)N(Cc3cncc(F)c3)Cc3ccccc3F)ccc2nc1N,True,2-amino-N-(2 -fluorobenzy 1)-N-((5 -fluoropy ridin-3 -y l)methy 1) -3 -methylquinoline-6-carboxamide,BWCSWVPPFONQIU
