compound_id,smiles_raw,iupac_name,provenance_file,provenance_sheet,provenance_row
1,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C1=CC=CC2=CC=CC=C12,"6,7-dimethoxy-2-methyl-N-[(1R)-1-(naphthalen-1-yl)ethyl]quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,2
2,ClC=1C=C(C=CC1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,"N-[(1R)-1-(3-chlorophenyl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,3
3,COC(=O)C=1SC2=C(C1)C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,"methyl4-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-1-benzothiophene-2-carboxylate",data/bronze/artifacts/2018_raw.xlsx,Sheet1,4
4,O1C=CC2=C1C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,"N-[1-(1-benzofuran-7-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,5
5,FC=1C=CC(=C2C=NNC12)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,"N-[1-(7-fluoro-1H-indazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,6
6,FC1=CC(=C2C=NNC2=C1)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,"N-[1-(6-fluoro-1H-indazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,7
7,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C2C=NNC2=CC=C1C,"6,7-dimethoxy-2-methyl-N-[1-(5-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,8
8,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=CC=CC2=CN(N=C12)C,"6,7-dimethoxy-2-methyl-N-[1-(2-methyl-2H-indazol-7-yl)ethyl]quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,9
9,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1C2=CN(N=C2C=CC1)C,"6,7-dimethoxy-2-methyl-N-[1-(2-methyl-2H-indazol-4-yl)ethyl]quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,10
10,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1C=CC=C2C=NN(C12)C,"6,7-dimethoxy-2-methyl-N-[1-(1-methyl-1H-indazol-7-yl)ethyl]quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,11
11,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=CC=CC=2CCCCC12,"6,7-dimethoxy-2-methyl-N-[1-(5,6,7,8-tetrahydronaphthalen-1-yl)ethyl]quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,12
12,FC1=CC=C(C=C1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,"N-[(1R)-1-(4-fluorophenyl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,13
13,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C2C(=NNC2=CC=C1)C,"6,7-dimethoxy-2-methyl-N-[1-(3-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,14
