nan,OLD SMILES / Initial Extraced SMILES formula (with asterik/별표),Yes/No ,smiles_new,provenance_file,provenance_sheet,provenance_row,tissue,Long term proliferation - USP1 inhibitor sensitive? (<316nM),Colony Formation Assay - USP1 inhibitor sensitive? (<316nM),brca1,brca2,p53,atm,sample_id,solub_pH2_grade,solub_pH7_grade,hlm_t12_grade,rlm_t12_grade
Example 14,N1=C2C(C=NN2CC2=CC=C(C3N(C=C(C(F)(F)F)N=3)*)C=C2)=CN=C1C1C(=NC=NC=1OC)C1CC1,Y,N1=C2C(C=NN2CC2=CC=C(C3N(C=C(C(F)(F)F)N=3)*)C=C2)=CN=C1C1C(=NC=NC=1OC)C1CC1,data/bronze/artifacts/2020_raw.xlsx,Asterik ExceptionCase Chart,4,,,,,,,,,,,,
Example 17,O(C1N=CN=C(C=1C1=NC=C2C(N(CC3C=C(C(C4=NC(*)=CN4C)=CC=3)F)N=C2)=N1)C1CC1)C,,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C(F)=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Asterik ExceptionCase Chart,5,,,,,,,,,,,,
Example 20,N1=CN=C(C(C2=NC=C3C(N(CC4C=CC(C5N(C=C(*)N=5)C)=CC=4F)N=C3)=N2)=C1OC)C1CC1,,COC1=C(C2=N/C=C3\C=NN(CC4=C(F)C=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Asterik ExceptionCase Chart,6,,,,,,,,,,,,
Example 33,N1(C=C(*)N=C1C1=CC=C(CN2C3C(C=N2)=CN=C(N=3)C2C(C)=NC=NC=2OC)C=C1)C,,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Asterik ExceptionCase Chart,7,,,,,,,,,,,,
Example 42,N1C(=NC=C2C=1N(CC1=CC=C(C3=NC(*)=CN3C)C=C1)N=C2)C1C(=NC=NC=1OCCOC)C1CC1,,COCCOC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(F)=CN5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Asterik ExceptionCase Chart,8,,,,,,,,,,,,
Example 44,N1C(=NC=C2C=1N(CC1=CC=C(N3C(=CC(*)=N3)C)C=C1)N=C2)C1=C(C=NN1C(C)C)C,,CC1=CC(CF)=NN1C1=CC=C(CN2/N=C\C3=CN=C(C4=C(C)C=NN4C(C)C)N=C32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Asterik ExceptionCase Chart,9,,,,,,,,,,,,
Example 53,O(C1N=CN=C(C=1C1=NC(C)=C2C(N(CC3C=CC(C4=NC(*)=CN4CC)=CC=3)N=C2)=N1)C1CC1)C,,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C(C)/N=C(C4=C(OC)N=CN=C4C4CC4)\N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Asterik ExceptionCase Chart,10,,,,,,,,,,,,
Example 67,*OC1N=CN=C(C=1C1=NC=C2C(N(CC3C=CC(C4=NC(CF)=CN4CC)=CC=3)N=C2)=N1)C1CC1,Y,,data/bronze/artifacts/2020_raw.xlsx,Asterik ExceptionCase Chart,11,,,,,,,,,,,,
Example 86,*C1=CN(C(C2C=CC(CN3C4C(C=N3)=CN=C(N=4)C3C(OC)=NC=NC=3OC)=CC=2)=N1)C,,COC1=NC=NC(OC)=C1C1=NC=C2/C=N\N(CC3=CC=C(C4=NC(CF)=CN4C)C=C3)C2=N1,data/bronze/artifacts/2020_raw.xlsx,Asterik ExceptionCase Chart,12,,,,,,,,,,,,
Example 101,N1C=NC(OC)=C(C=1C1CN(C1)C)C1=NC=C2C(N(CC3=CC=C(C4N(C=C(N=4)*)CCC)C=C3)N=C2)=N1,,CCN1C=C(CF)N=C1C1=CC=C(CN2/N=C\C3=CN=C(C4=C(OC)N=CN=C4C4CN(C)C4)N=C32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Asterik ExceptionCase Chart,13,,,,,,,,,,,,
