compound_id,smiles_raw,iupac_name,lcms_text,provenance_file,provenance_sheet,provenance_row,flag_asterisk
Example 301,CC1=CC2=C/C(C(=O)N(CC3=CC=CN=C3)CC3=NC=C(C(F)(F)F)C=C3)=C\C=C\2N=C1N,2-amino-3 -methy l-N-(3 -pyridinylmethy 1)-N - ((5-(trifluoromethyl)-2-pyridinyl)methyl)-6- quinolinecarboxamide,452.1,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,3,Too blurry
Example 302,CC1=CC2=C/C(C(=O)N(CC3=CC=CC=N3)CC3=NC=C(C(F)(F)F)C=C3)=C\C=C\2N=C1N,2-am ino-3-methy l-N-(2 -pyridinylmethy 1)-N- ((5-(trifluoromethyl)-2-pyridinyl)methyl)-6- quinolinecarboxamide,452.1,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,4,Missing Image
Example 303,CC1=CC2=C/C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)CC3=C(Cl)C=CC=N3)=C/C=C\2N=C1N,2-amino-N-((3-chloro-2-pyridinyl)methyl)-3- methyl-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-6-quinolinecarboxamide,486,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,5,Missing Name
Example 304,CC1=CC2=C\C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)CC3=C(F)C=C(Cl)C=N3)=C/C=C\2N=C1N,2-amino-N-((5-chloro-3-fluoro-2- pyridiny l)methy 1) -3 -methy 1-N-((5- (trifluoromethyl)-2-pyridinyl)methy 1)-6- quinolinecarboxamide,504,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,6,Fixed
Example 305,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C(C(F)(F)F)C=N3)CC3=CN=C(N)S3)=C/C2=C1,"2-amino-N-((2-am ino-1,3-thiazol-5- yl)methyl)-3-methyl-N-((5-(trifluoromethyl)- 2-pyridinyl)methyl)-6-quinolinecarboxamide",472.5,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,7,nan
Example 306,CC1=CC2=C/C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)CC3=NN(C)C=N3)=C/C=C\2N=C1N,"2-amino-3-methyl-N-((l-methyl-lH-l,2,4- triazol-3-yl)methyl)-N-((5-(trifluoromethyl)- 2-pyridinyl)methyl)-6-quinolinecarboxamide",456.1,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,8,nan
Example 307,CC1=C(N)N=C2/C=C(F)\C(C(=O)N(CC3=CC=C(C#N)C=N3)CC3CC3)=C/C2=C1,2-amino-N-((5-cyano-2-pyridinyl)methyl)-N- (cyclopropylmethyl)-7-fluoro-3-methyl-6- quinolinecarboxamide,390,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,9,nan
Example 308,CC1=CC2=C(/C=C\C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3F)CC(C)C)=C/2)N=C1N,2-amino-N-((3-fluoro-5-(trifluoromethyl)-2- pyridiny l)methy 1) -3 -methy l-N-(2- methylpropyl)-6-quinolinecarboxamide,435.2,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,10,nan
Example 309,CC1=CC2=C(/C=C\C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)[C@H](C)C3CC3)=C/2)N=C1N,2-amino-N-((lR)-l-cyclopropylethyl)-3- methyl-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-6-quinolinecarboxamide,429.2,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,11,nan
Example 310,CC1=CC2=C/C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)CC3=C(F)C=CC=N3)=C(F)\C=C\2N=C1N,2 -amino -7 -fluoro -N-((3 -fluoro -2- pyridiny l)methy 1) -3 -methy 1-N-((5- (trifluoromethyl)-2-pyridinyl)methy 1)-6- quinolinecarboxamide,488,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,12,nan
Example 311,CC1=C(N)N=C2/C=C(F)\C(C(=O)N(CC3=CC=C(C(F)(F)F)C=N3)CC3CC3)=C/C2=C1,2 -amino -N-(cy clopropy Imethy 1)-7-fluoro -3 -methyl-N-((5-(trifluoromethyl)-2-pyridinyl)methyl)-6-quinolinecarboxamide,433.3,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,13,nan
Example 312,CC1=CC2=C\C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)CC3=C(F)C=CC=N3)=N/C=C\2N=C1N,"2 -amino -N-((3 -fluoro -2 -py ridiny l)methy 1) -3 -methyl-N-((5-(trifluoromethyl)-2-pyridinyl)methy 1)-1,7-naphthyridine-6-carboxamide",471,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,14,nan
Example 313,CC1=CC2=C(/C=N\C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)CC(C)C)=C/2)N=C1N,"2-amino-3-methyl-N-(2-methylpropyl)-N-((5-(trifluoromethyl)-2-pyridinyl)methyl)-l,7-naphthyridine-6-carboxamide",418.1,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,15,nan
Example 314,CC1=CC2=C(/C=C(F)\C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)CC(C)C)=C/2)N=C1N,2-amino-7-fluoro-3-methyl-N-(2-methylpropyl)-N-((5-(trifluoromethyl)-2-pyridinyl)methyl)-6-quinolinecarboxamide,435.2,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,16,nan
Example 315,CC1=CC2=C/C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)CC3=NC=CN=C3)=C(F)\C=C\2N=C1N,2-amino-7-fluoro-3-methyl-N-(2-py raziny Imethy 1) -N-((5 - (trifluoromethy 1)-2-pyridinyl)methyl)-6-quinolinecarboxamide,471.2,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,17,nan
