compound_id,smiles_raw,dataset_id,provenance_file,provenance_sheet,provenance_row
1,CC(=O)/C1=C(\S(C)=O)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,1
2,CS/C1=C(\C(C)=O)C(=O)C2=C(Cl)C=CC(Br)=C2N1,2017,raw/2017_1020170094694_raw.xlsx,표3,2
3,CC(=O)/C1=C(\SCC2=CC=CC=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,3
4,CC(=O)/C1=C(\S(=O)CC2=CC=CC=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,4
5,CS/C1=C(\C(C)=O)C(=O)C2=C(Cl)C=CC(Br)=C2N1C,2017,raw/2017_1020170094694_raw.xlsx,표3,5
6,CC(=O)/C1=C(\S(C)=O)NC2=C(Cl)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,6
7,CS/C1=C(\C(C)=O)C(=O)C2=CC(F)=CC=C2N1C,2017,raw/2017_1020170094694_raw.xlsx,표3,7
8,CS/C1=C(\C(C)=O)C(=O)C2=CC(F)=CC=C2N1,2017,raw/2017_1020170094694_raw.xlsx,표3,8
9,CC(=O)/C1=C(\S(C)=O)N(C(=O)C2=CC=C(Br)C=C2)C2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,9
10,CC(=O)/C1=C(\SCC2=CC=C(Cl)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,10
11,CC(=O)/C1=C(\S(=O)CC2=CC=C(Cl)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,11
12,CC(=O)/C1=C(\SC2=CC=CC=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,12
13,CC(=O)/C1=C(\S(=O)C2=CC=CC=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,13
14,COC1=CC=CC=C1S/C1=C(\C(C)=O)C(=O)C2=C(Cl)C=CC(Br)=C2N1,2017,raw/2017_1020170094694_raw.xlsx,표3,14
15,COC1=CC=CC=C1S(=O)/C1=C(\C(C)=O)C(=O)C2=C(Cl)C=CC(Br)=C2N1,2017,raw/2017_1020170094694_raw.xlsx,표3,15
16,CC(=O)/C1=C(\SC2=CC=C(Br)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,16
17,CC(=O)/C1=C(\S(=O)C2=CC=C(Br)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,17
18,CS/C1=C(\C(C)=O)C(=O)C2=C(Cl)C=CC(Br)=C2N1C(C)=O,2017,raw/2017_1020170094694_raw.xlsx,표3,18
19,CC(=O)/C1=C(\S(C)=O)N(C(C)=O)C2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,19
20,CC(=O)/C1=C(\S(=O)CC2=CC=CC=C2)N(C(=O)C2=CC=C(Br)C=C2)C2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,20
21,CC(=O)/C1=C(\S(C)(=O)=O)N(C(=O)C2=CC=C(Br)C=C2)C2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,21
22,CC(=O)/C1=C(\S(C)=O)N(CC2=CC(Cl)=C(F)C=C2)C2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,22
