compound_id,assay_id,panel_id,cell_line,value_raw,value_num,unit,censor,assay_label,provenance_file,provenance_sheet,provenance_row,meas_kind,table_id,compound_name_raw
1,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.94 μM,1.94,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,1,IC50,table14,
2,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,2,IC50,table14,
3,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,3,IC50,table14,
4,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.05 μM,1.05,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,4,IC50,table14,
5,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,5,IC50,table14,
6,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,6,IC50,table14,
7,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,7,IC50,table14,
8,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,8,IC50,table14,
9,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.97 μM,1.97,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,9,IC50,table14,
10,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,10,IC50,table14,
11,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,11,IC50,table14,
