compound_id,dataset_id,assay_id,panel_id,cell_line,smiles_canonical,inchikey,value_std,unit_std,censor,readout,matrix,provenance_file,provenance_sheet,provenance_row,std_rule_id,std_confidence,value_raw,value_num,unit,dataset_id_comp
1,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(C)=O)[nH]c2c(Br)ccc(Cl)c2c1=O,JPEKBABCIRLYLZ-UHFFFAOYSA-N,1.94,μM,,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,1,SCL_CONC_V1,1,1.94 μM,1.94,μM,2017
2,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CSc1[nH]c2c(Br)ccc(Cl)c2c(=O)c1C(C)=O,GFFLOAANRKOHTP-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,2,SCL_CONC_V1,1,> 2 μM,2,μM,2017
3,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(SCc2ccccc2)[nH]c2c(Br)ccc(Cl)c2c1=O,MHEXFMXBGSLBGQ-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,3,SCL_CONC_V1,1,> 2 μM,2,μM,2017
4,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)Cc2ccccc2)[nH]c2c(Br)ccc(Cl)c2c1=O,NBHDQZYSCSOIIP-UHFFFAOYSA-N,1.05,μM,,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,4,SCL_CONC_V1,1,1.05 μM,1.05,μM,2017
5,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CSc1c(C(C)=O)c(=O)c2c(Cl)ccc(Br)c2n1C,DRGOWQXNBSWIAF-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,5,SCL_CONC_V1,1,> 2 μM,2,μM,2017
6,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(C)=O)[nH]c2c(Cl)ccc(Cl)c2c1=O,SERSRDLVZGBTKV-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,6,SCL_CONC_V1,1,> 2 μM,2,μM,2017
7,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CSc1c(C(C)=O)c(=O)c2cc(F)ccc2n1C,MQOOPVNFHSLPJT-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,7,SCL_CONC_V1,1,> 2 μM,2,μM,2017
8,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CSc1[nH]c2ccc(F)cc2c(=O)c1C(C)=O,WABVMQUUKSSSHI-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,8,SCL_CONC_V1,1,> 2 μM,2,μM,2017
9,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(C)=O)n(C(=O)c2ccc(Br)cc2)c2c(Br)ccc(Cl)c2c1=O,UEAAZHCXFUIEHZ-UHFFFAOYSA-N,1.97,μM,,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,9,SCL_CONC_V1,1,1.97 μM,1.97,μM,2017
10,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(SCc2ccc(Cl)cc2)[nH]c2c(Br)ccc(Cl)c2c1=O,TYOAUVCFTNRTIR-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,10,SCL_CONC_V1,1,> 2 μM,2,μM,2017
11,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)Cc2ccc(Cl)cc2)[nH]c2c(Br)ccc(Cl)c2c1=O,YJWGJSZPOCJWEQ-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,11,SCL_CONC_V1,1,> 2 μM,2,μM,2017
12,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(Sc2ccccc2)[nH]c2c(Br)ccc(Cl)c2c1=O,JDNHDPJJASOQKY-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,12,SCL_CONC_V1,1,> 2 μM,2,μM,2017
13,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)c2ccccc2)[nH]c2c(Br)ccc(Cl)c2c1=O,LLLSOJCJQOZLRX-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,13,SCL_CONC_V1,1,> 2 μM,2,μM,2017
14,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,COc1ccccc1Sc1[nH]c2c(Br)ccc(Cl)c2c(=O)c1C(C)=O,BINHKEFTVZTUTO-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,14,SCL_CONC_V1,1,> 2 μM,2,μM,2017
15,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,COc1ccccc1S(=O)c1[nH]c2c(Br)ccc(Cl)c2c(=O)c1C(C)=O,GQPAFIMQWXKQHW-UHFFFAOYSA-N,1.91,μM,,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,15,SCL_CONC_V1,1,1.91 μM,1.91,μM,2017
16,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(Sc2ccc(Br)cc2)[nH]c2c(Br)ccc(Cl)c2c1=O,YELVEPXKCUUJAY-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,16,SCL_CONC_V1,1,> 2 μM,2,μM,2017
