compound_id,dataset_id,smiles_raw,smiles_canonical,inchikey
Intermediate 1,2021,CC1=C/C2=CC(C(=O)O)=CC=C2/N=C\1N,Cc1cc2cc(C(=O)O)ccc2nc1N,OSANVGRUYYSHAG-UHFFFAOYSA-N
Intermediate 1b,2021,COC(=O)C1=CC=C2/N=C(NC(C)=O)\C(C)=C/C2=C1,COC(=O)c1ccc2nc(NC(C)=O)c(C)cc2c1,UOPLNUIQOGSQHN-UHFFFAOYSA-N
Intermediate 1c,2021,COC(=O)C1CCC2=C(C=C(C)C(NC(C)=O)=N2)C1,COC(=O)C1CCc2nc(NC(C)=O)c(C)cc2C1,SCDROOKVBMNOGW-UHFFFAOYSA-N
Intermediate 1a,2021,CC1=C/C2=C(CCC(C(=O)O)C2)/N=C\1N,Cc1cc2c(nc1N)CCC(C(=O)O)C2,UTAZMKSVRJBFND-UHFFFAOYSA-N
Intermediate 2,2021,[2H]C([2H])([2H])C1=C/C2=CC(C(=O)O)=CC=C2/N=C\1N,[2H]C([2H])([2H])c1cc2cc(C(=O)O)ccc2nc1N,OSANVGRUYYSHAG-FIBGUPNXSA-N
Intermediate 3a,2021,COC(=O)C1=CC=C2/N=C(Cl)\C(Cl)=C/C2=C1,COC(=O)c1ccc2nc(Cl)c(Cl)cc2c1,SAXKVPPXKUGGIP-UHFFFAOYSA-N
Intermediate 3b,2021,COC(=O)C1=CC=C2/N=C(NCC3=CC=C(OC)C=C3)\C(Cl)=C/C2=C1,COC(=O)c1ccc2nc(NCc3ccc(OC)cc3)c(Cl)cc2c1,XGTTYZYIESNFQH-UHFFFAOYSA-N
Intermediate 3c,2021,COC(=O)C1=CC=C2/N=C(N)\C(Cl)=C/C2=C1,COC(=O)c1ccc2nc(N)c(Cl)cc2c1,XZZZEGVLUIADRD-UHFFFAOYSA-N
Intermediate 3,2021,NC1=N/C2=CC=C(C(=O)O)C=C2/C=C\1Cl,Nc1nc2ccc(C(=O)O)cc2cc1Cl,XCTMOJZVASDBRJ-UHFFFAOYSA-N
Intermediate 4a,2021,CCOP(=O)(O)C(Br)C#N,CCOP(=O)(O)C(Br)C#N,RDGMGMXLSZKMQS-UHFFFAOYSA-N
Intermediate 4b,2021,COC(=O)C1=C\C=C2\N=C(N)C(Br)=C\C2=C\1,COC(=O)c1ccc2nc(N)c(Br)cc2c1,ZCSZNYIAOFSAOT-UHFFFAOYSA-N
Intermediate 4,2021,NC1=N/C2=CC=C(C(=O)O)C=C2/C=C\1Br,Nc1nc2ccc(C(=O)O)cc2cc1Br,POSKMFNNRZVGLM-UHFFFAOYSA-N
Intermediate 5a,2021,CC1=C/C2=CC(Br)=C(F)C=C2/N=C\1N,Cc1cc2cc(Br)c(F)cc2nc1N,WTHQAORMGGLPBS-UHFFFAOYSA-N
Intermediate 5b,2021,COC(=O)C1=C(F)/C=C2\N=C(N)C(C)=C\C2=C\1,COC(=O)c1cc2cc(C)c(N)nc2cc1F,LQWLOPUMXUUTRD-UHFFFAOYSA-N
Intermediate 5,2021,CC1=C/C2=CC(C(=O)O)=C(F)C=C2/N=C\1N,Cc1cc2cc(C(=O)O)c(F)cc2nc1N,AZUDBQQSUFBMSE-UHFFFAOYSA-N
Intermediate 6a,2021,[H]C(=O)C1=CC(C(=O)OC)=C(Cl)C=C1N,COC(=O)c1cc(C=O)c(N)cc1Cl,WDOPXYKVWCYIMD-UHFFFAOYSA-N
Intermediate 6,2021,CC1=C/C2=CC(C(=O)O)=C(Cl)C=C2/N=C\1N,Cc1cc2cc(C(=O)O)c(Cl)cc2nc1N,OKOSPQKKRHYVLG-UHFFFAOYSA-N
Intermediate 7,2021,NC1=N/C2=CC=C(C(=O)O)C=C2/C(Br)=C\1,Nc1cc(Br)c2cc(C(=O)O)ccc2n1,AHIHOYAKEKRCFU-UHFFFAOYSA-N
Intermediate 8,2021,NC1=N/C2=CC=C(C(=O)O)C=C2/C(Br)=C\1,Nc1cc(Br)c2cc(C(=O)O)ccc2n1,AHIHOYAKEKRCFU-UHFFFAOYSA-N
Intermediate 9a,2021,COC(=O)C1=C/C2=C(\C=C/1)N=C(Cl)C(C)=C2Cl,COC(=O)c1ccc2nc(Cl)c(C)c(Cl)c2c1,MPGAZRQMIRPJCO-UHFFFAOYSA-N
Intermediate 9b,2021,COC(=O)C1=CC2=C(C=C1)/N=C(NCC1=CC=C(OC)C=C1)\C(C)=C/2Cl,COC(=O)c1ccc2nc(NCc3ccc(OC)cc3)c(C)c(Cl)c2c1,JWWSYFJWJQJANE-UHFFFAOYSA-N
Intermediate 9c,2021,COC(=O)C1=CC2=C(C=C1)/N=C(NCC1=CC=C(OC)C=C1)\C(C)=C/2C,COC(=O)c1ccc2nc(NCc3ccc(OC)cc3)c(C)c(C)c2c1,GTUGEIOWFIJJNM-UHFFFAOYSA-N
Intermediate 9,2021,COC1=CC=C(CNC2=N/C3=C(C=C(C(=O)O)C=C3)/C(C)=C\2C)C=C1,COc1ccc(CNc2nc3ccc(C(=O)O)cc3c(C)c2C)cc1,IKJNMYVUYMZRFK-UHFFFAOYSA-N
Intermediate 10a,2021,CC1=CC2=C\C(C#N)=C/N=C\2N=C1N,Cc1cc2cc(C#N)cnc2nc1N,IVEYSNKITNSDQJ-UHFFFAOYSA-N
Intermediate 10,2021,CC1=CC2=C\C(C(=O)O)=C/N=C\2N=C1N,Cc1cc2cc(C(=O)O)cnc2nc1N,KCBURGVLPFMRKZ-UHFFFAOYSA-N
Intermediate 11a,2021,CCOP(=O)(OCC)C(Cl)C#N,CCOP(=O)(OCC)C(Cl)C#N,ITSAYZZUJTUZJE-UHFFFAOYSA-N
Intermediate 11b,2021,NC1=N/C2=NC=C(Br)C=C2/C=C\1Cl,Nc1nc2ncc(Br)cc2cc1Cl,BSAMPDHGTZOLRG-UHFFFAOYSA-N
Intermediate 11c,2021,COC(=O)C1=C/N=C2/N=C(N)C(Cl)=C/C2=C\1,COC(=O)c1cnc2nc(N)c(Cl)cc2c1,LVRYVYPCBHSPBF-UHFFFAOYSA-N
Intermediate 11,2021,NC1=N/C2=NC=C(C(=O)O)C=C2/C=C\1Cl,Nc1nc2ncc(C(=O)O)cc2cc1Cl,YNUPCLKONVOZPS-UHFFFAOYSA-N
Intermediate 12a,2021,N#CC1=C/N=C2\N=C(N)C(Br)=C\C2=C\1,N#Cc1cnc2nc(N)c(Br)cc2c1,XIROZXOQDOUVQM-UHFFFAOYSA-N
Intermediate 12b,2021,COC(=O)C1=C/N=C2/N=C(N)C(Br)=C/C2=C\1,COC(=O)c1cnc2nc(N)c(Br)cc2c1,CRDKFXPBMSXRAR-UHFFFAOYSA-N
Intermediate 12,2021,NC1=N/C2=NC=C(C(=O)O)C=C2/C=C\1Br,Nc1nc2ncc(C(=O)O)cc2cc1Br,JMNFDQVASKIHSI-UHFFFAOYSA-N
Intermediate 13,2021,CC1=C/C2=CC(C(=O)O)=NC=C2/N=C\1N,Cc1cc2cc(C(=O)O)ncc2nc1N,OSRZFBLJXNBTTN-UHFFFAOYSA-N
Intermediate 14a,2021,COC(=O)C1=N/C=C2/N=C(N)C(Cl)=C/C2=C\1,COC(=O)c1cc2cc(Cl)c(N)nc2cn1,ZULVOZHPMRBBSX-UHFFFAOYSA-N
Intermediate 14,2021,NC1=NC2=C/N=C(C(=O)O)\C=C\2C=C1Cl,Nc1nc2cnc(C(=O)O)cc2cc1Cl,JOYZZXVBJGKJRR-UHFFFAOYSA-N
Intermediate 15a,2021,COC(=O)C1=NC=C2/N=C(N)\C(Br)=C/C2=C1,COC(=O)c1cc2cc(Br)c(N)nc2cn1,MPJZQOXULNJNRA-UHFFFAOYSA-N
Intermediate 15,2021,NC1=NC2=C\N=C(C(=O)O)/C=C\2C=C1Br,Nc1nc2cnc(C(=O)O)cc2cc1Br,ZCOGGEWLGIJWAK-UHFFFAOYSA-N
Intermediate 16,2021,CC1=C/C2=CC(C(=O)Cl)=CC=C2/N=C\1N,Cc1cc2cc(C(=O)Cl)ccc2nc1N,OPQUSUDXHUPIAI-UHFFFAOYSA-N
Intermediate 17,2021,NC1=NC2=N/C=C(C(=O)Cl)\C=C\2C=C1Br,Nc1nc2ncc(C(=O)Cl)cc2cc1Br,SQDJUWRDCGMGJL-UHFFFAOYSA-N
Intermediate 18a,2021,CC1=C/C2=CC(Br)=CN=C2/N=C\1N,Cc1cc2cc(Br)cnc2nc1N,BJDBMOHYLLGBLJ-UHFFFAOYSA-N
Intermediate 18,2021,CC1=C/C2=CC(Br)=CN=C2/N=C\1N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C,Cc1cc2cc(Br)cnc2nc1N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C,KUMKYRQTSITTBP-UHFFFAOYSA-N
Intermediate 19,2021,CCC1=C/C2=CC(C(=O)O)=CC=C2/N=C\1N,CCc1cc2cc(C(=O)O)ccc2nc1N,ZIYBOMUDLOTIMI-UHFFFAOYSA-N
Intermediate 20a,2021,COC1=CC=C(CN(CC2=CC=C(OC)C=C2)C2=N/C3=CC=C(Br)C=C3/C=C\2C)C=C1,COc1ccc(CN(Cc2ccc(OC)cc2)c2nc3ccc(Br)cc3cc2C)cc1,OMZMZTRYDCIMGT-UHFFFAOYSA-N
Intermediate 20,2021,COC1=CC=C(CN(CC2=CC=C(OC)C=C2)C2=N/C3=CC=C(C(=O)O)C=C3/C=C\2C)C=C1,COc1ccc(CN(Cc2ccc(OC)cc2)c2nc3ccc(C(=O)O)cc3cc2C)cc1,HAGZLQRSVOGQKR-UHFFFAOYSA-N
Intermediate 21,2021,CC1=C/C2=CC(C(=O)Cl)=C(Cl)C=C2/N=C\1N,Cc1cc2cc(C(=O)Cl)c(Cl)cc2nc1N,ROLWSZPGAQCEOR-UHFFFAOYSA-N
Intermediate 22,2021,CC1=C(Br)C(N)=N/C2=N\C=C(C(=O)O)/C=C\12,Cc1c(Br)c(N)nc2ncc(C(=O)O)cc12,OMOODKDJOWHTJW-UHFFFAOYSA-N
Intermediate 23,2021,NC1=N/C2=CC=C(C(=O)O)C=C2/C=C\1I,Nc1nc2ccc(C(=O)O)cc2cc1I,IQQORCQTERBMIN-UHFFFAOYSA-N
Intermediate 24,2021,NC1=NC2=N/C=C(C(=O)O)\C=C\2C=C1I,Nc1nc2ncc(C(=O)O)cc2cc1I,PIKWYZSXFJNSMZ-UHFFFAOYSA-N
Intermediate 25,2021,CC1=C2/C=C(C)\C(N)=N/C2=CC=C1C(=O)O,Cc1cc2c(C)c(C(=O)O)ccc2nc1N,OYTLSDDQSUBJMT-UHFFFAOYSA-N
Intermediate 26,2021,CC(C)CNCC1=NC=C(C(F)(F)F)C=C1,CC(C)CNCc1ccc(C(F)(F)F)cn1,XNCWUIXGFYLITH-UHFFFAOYSA-N
Intermediate 27,2021,FC(F)(F)C1=CC=C(CNCC2CC2)N=C1,FC(F)(F)c1ccc(CNCC2CC2)nc1,MRUVKOPVDPONEC-UHFFFAOYSA-N
Intermediate 28,2021,FC1=CC=CN=C1CNCC1=CC=C(C(F)(F)F)C=N1,Fc1cccnc1CNCc1ccc(C(F)(F)F)cn1,SEWNETGLLCSKBK-UHFFFAOYSA-N
Intermediate 29,2021,FC(F)(F)C1=CC=C(CNCC2=NC=CC=N2)N=C1,FC(F)(F)c1ccc(CNCc2ncccn2)nc1,FJFSDKPTZPWTSB-UHFFFAOYSA-N
Intermediate 30,2021,NC(=O)C1=CC=C(CNCC2=CC=C(C(F)(F)F)C=N2)C=C1,NC(=O)c1ccc(CNCc2ccc(C(F)(F)F)cn2)cc1,ONNDMKVCOXNVDM-UHFFFAOYSA-N
Intermediate 31,2021,FC(F)(F)C1=CN=C(CNCC2=C3C=CNC3=NC=C2)C=C1,FC(F)(F)c1ccc(CNCc2ccnc3[nH]ccc23)nc1,HJKVNQSEYBEOSR-UHFFFAOYSA-N
Intermediate 32,2021,CN1C=NC(CNCC2=NC=C(C(F)(F)F)C=C2)=N1,Cn1cnc(CNCc2ccc(C(F)(F)F)cn2)n1,CIPRQWQIRPGCSV-UHFFFAOYSA-N
Intermediate 33,2021,NC1=NC=C(CNCC2=CC=C(C(F)(F)F)C=N2)S1,Nc1ncc(CNCc2ccc(C(F)(F)F)cn2)s1,REQAIBHJFNZNSL-UHFFFAOYSA-N
Intermediate 34,2021,CC(C)CNCC1=NC=C(C(F)(F)F)C=C1F,CC(C)CNCc1ncc(C(F)(F)F)cc1F,MMSHTFPJLTXLQQ-UHFFFAOYSA-N
Intermediate 35,2021,FC(F)(F)C1=CN=C(CNCC2=CC=C3N/N=C\C3=C2)C=C1,FC(F)(F)c1ccc(CNCc2ccc3[nH]ncc3c2)nc1,FIVSMRSUMWCMHM-UHFFFAOYSA-N
Intermediate 36,2021,COCCNCC1=NC=C(C(F)(F)F)C=C1,COCCNCc1ccc(C(F)(F)F)cn1,OWLWRLQINDKHEJ-UHFFFAOYSA-N
